ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,class,class_Selam,label,cluster,pca_features_0,pca_features_1
KIC08760135,0.01,55047.852662,184.6535528,1.6170709491768742,1.5133940982713563,-3.0361231445064325,1.028223678020095,-0.1562214475813065,-2.0121703422472907,-3.7361113527466454,-3.827266375743159,-1.0136927745297866,4.011008335560008,6.610251146349261,6.531851601535149e-09,Detached,EA,0,EA,-0.26909006392985657,-0.0713327735218591
KIC09394601,0.59,54955.415456,0.8768264,0.9874194954004494,-0.023809976988049,-0.0003394570738107,-0.0363770092719974,-0.0180288105613804,-0.0167415912019755,-0.0121357861748921,-0.0109684238441936,-0.0065654546319701,-0.0048553482502222,-0.0018248050416482,6.392152242156666,SemiDetached,EA,0,EA,-0.243870055191858,-0.09163485870560804
KIC04647652,0.68,54953.946994,1.064824,0.9890531197979674,-0.003681386396061,-0.0008107109316439,-0.0323518382722577,-0.0173597997256822,-0.0043004335551623,-0.0062511891844076,-0.0032729014775051,-0.0046662842484414,-0.0019170801639397,-0.0018600937851095,5.476525586746881,SemiDetached,EW,0,EA,-0.24398646446503153,-0.09157829168100198
KIC07339345,0.76,54964.777196,0.2596643,-198.77210613934304,-162.0127279017763,706.8763499644539,-73.80101558470666,12.124136947873527,40.644872992889304,-11.339784419124705,-114.97304048082304,-192.6085434455857,-141.2584655666722,136.0754675318837,0.0042820145459148,OverContact,EB,1,EB,1.4957109705203986,-1.4295208424612076
KIC05707897,-1.0,54998.254127,8.4160911,5.951298887804467,4.283073135623269,-3.655227684539101,0.1602836809052332,-4.197331844267758,-6.346140410751273,-4.962615086261326,-0.7604044495370658,3.6266712717368192,5.017621614260449,1.8827934572224736,0.0768812692615041,Detached,EA,0,EA,-0.3058408111184849,-0.0989798007526375
KIC10000490,0.56,54954.243656,1.4009912,0.9952148132412552,-0.012835429204725,-0.0024866401377782,-0.0157206764957639,-0.0054578404746821,-0.0062742611376276,-0.0045853268051725,-0.0055040424149461,-0.0032722831301864,-0.0039689158732632,-0.0020128171067815,6.413331248148605,SemiDetached,EA,0,EA,-0.24399648022568934,-0.0911789949004221
KIC09788113,0.99,55019.675488,2.0680581,-1.573825643006003,-0.8232003118708626,-2.383827490726282,0.9373830621340848,2.4859879805989764,2.537015363082274,0.6019320848895514,-2.283365950819756,-3.4896359223003595,-0.3302369124475586,5.3182406530066055,0.5970975565707,Ellipsoidal,EB,0,EA,-0.23058588714845396,-0.06646221063152762
KIC09159301,0.55,54956.302809,3.0447704,0.9649335433513352,-0.0787623324363679,-0.0138528624522636,-0.0826233000552842,-0.0565290194115985,-0.0595137119699159,-0.0443460338013812,-0.0442847354659785,-0.0290650934601529,-0.0276942938792136,-0.0151926596443999,6.471840797843373,SemiDetached,EA,0,EA,-0.24343988288411622,-0.09260180684602452
KIC03340313,0.05,55006.985602,30.5537,-8.665707592184543,-9.219704568547172,-31.6520444529906,-6.624037062500918,6.5576519602146215,26.451627258206432,31.24358669189647,-1.9003350022639656,-54.213789252564496,-40.6533180026194,89.67505918266907,0.3591310449807967,Detached,EB,2,EW,-0.02754507082018369,-0.2113029129360436
KIC09785454,0.01,55070.693328,184.52,6.483712552186395,3.6472474565704895,2.3985412903954133,-2.667703462769538,-7.345627295444799,-6.101321409472855,0.5770379258508848,6.580510571953559,5.032768227376198,-2.876550190791266,-4.7290868768723495,0.3052185544803109,Detached,EW,2,EW,-0.2877291514898419,-0.16239381568613245
KIC08940961,0.36,54966.960335,3.1666696,-637.0873615827139,-410.43659085384377,-591.9930417379201,164.8389991537244,715.1313894823329,860.6601110860461,346.8728715104962,-578.9020148264214,-1103.1485315310117,-289.3540710640766,1524.3870152232416,0.404571988021387,Detached,EB,1,EB,6.015986090835948,4.938880822789286
KIC09030509,0.88,54964.962189,0.4017846,-53.52023376585663,-46.93087560765922,242.67597171489993,-27.72858890179444,0.5021871252925406,27.642997911975872,36.839581862488,12.151528812106395,-45.13886407417759,-96.24521228618228,-49.30636359928688,0.0058492310723143,Ellipsoidal,EB,1,EB,0.3575872869472764,-0.6167947930317299
KIC05357882,0.98,55000.089402,0.3874025,-0.8451769853790765,0.2009251195229967,-0.1235593844120845,1.774744235072535,1.365737083613786,-0.7836710979472615,-1.644796253812744,0.130839951115996,1.341184230678929,-0.5409710289041904,0.0719240809141431,1.0130544261206684,Ellipsoidal,EW,2,EW,-0.25677884056582245,-0.0509318303609537
KIC11042923,0.76,54964.774282,0.3901623,0.9138251644711524,0.0491387013265816,-0.0008806295648077,-0.1206560761020491,-0.0504086497603396,0.0070466318349192,-0.0273945386960933,0.0080632237161907,-0.0114016102682007,0.0008475953959499,-0.0016010562207519,5.268150680368253,OverContact,EW,0,EA,-0.24396176644041534,-0.0937066808789828
KIC07377422,0.16,54986.644426,107.6228469,4.934280377411678,3.1442906146244223,1.5240517148381374,-1.038880896166097,-4.75578565544011,-5.2450092059116304,-1.8238392649281665,3.1172761605280255,5.132546921686637,1.1813870478887731,-5.1714166914998385,0.3349133680327857,Detached,EA,0,EA,-0.28706818762999176,-0.12360839988696735
KIC07887124,-1.0,54950.479755,32.4864272,8.255372908788306,5.799378790374689,-3.70483797671633,-0.1999067304953881,-6.3319096051726245,-8.954740911054952,-6.33521567920948,-0.0081522919850384,5.668465648024603,6.130626549559908,0.6809165713110195,0.0032711694394322,Detached,EA,0,EA,-0.32750183612006156,-0.1115898320794126
KIC09480535,0.02,55036.405603,160.1341104,12.57716532390823,8.405687696530576,-1.451695313121715,-1.4448832773058835,-10.565754168927564,-12.773095685122588,-6.3672198470665275,3.976653839046005,9.646198690094046,4.759234898971416,-5.7622995046044485,0.0006410088357526,Detached,EA,2,EW,-0.3590909566248828,-0.14730302058565944
KIC09519590,0.88,54964.676736,0.3308941,0.9732433727528478,0.0201935467322999,-0.0002854822100411,-0.0270462486600008,-0.0156065214378728,-0.0004689027225587,0.0003729994492944,-0.00313276114855,0.0013562851974434,-0.0017816883009455,0.00044949944174,4.791244408149488,Ellipsoidal,EW,0,EA,-0.2441753252308861,-0.09150413148138017
