	image	clusterid	Morph	BinaryType	KmeansX	KmeansY
500	KIC11706658_morp0.4.png	1	0.4	Detached	-6.347265405431781	74.68567833185844
501	KIC06421188_morp0.09.png	0	0.09	Detached	92.29701666407263	-57.04776234562499
502	KIC09767437_morp0.67.png	3	0.67	SemiDetached	-70.22586154219479	40.96883996957129
503	KIC09412462_morp0.28.png	0	0.28	Detached	68.52116921268667	-24.883504011732573
504	KIC10141087_morp0.8.png	3	0.8	OverContact	-46.39984526812674	20.66807794734158
505	KIC08429817_morp0.04.png	0	0.04	Detached	97.74793253861282	-4.10633672611339
506	KIC07373255_morp-1.0.png	3	-1.0	Detached	-33.74544073351672	-21.080519742922263
507	KIC07023960_morp0.05.png	0	0.05	Detached	84.1407128946132	-52.81789060550934
508	KIC11305087_morp0.79.png	3	0.79	OverContact	-94.10514019512699	-25.401658980254773
509	KIC07733540_morp0.78.png	3	0.78	OverContact	-31.23204957667	5.414868109226626
510	KIC09030447_morp0.9.png	3	0.9	Ellipsoidal	-24.22074562400996	11.32540855525922
511	KIC05984000_morp0.82.png	3	0.82	Ellipsoidal	-90.93682954303678	-33.56310145143945
512	KIC12105785_morp0.06.png	0	0.06	Detached	88.26156944473462	-54.742406776592595
513	KIC09899345_morp0.6.png	1	0.6	SemiDetached	-5.057030144926236	54.281553179660534
514	KIC10074700_morp0.02.png	0	0.02	Detached	83.91446807105581	-7.838897504099751
515	KIC09835416_morp-1.0.png	3	-1.0	Detached	-54.785616132324584	19.06747041376324
516	KIC09117416_morp0.17.png	2	0.17	Detached	5.6815687344030685	-25.77646622551516
517	KIC11457191_morp0.52.png	1	0.52	SemiDetached	-34.59285991190416	51.20741638532109
518	KIC11867071_morp0.21.png	2	0.21	Detached	48.79709388370662	-8.577097600379789
519	KIC11198723_morp0.17.png	0	0.17	Detached	61.24047213223685	-48.546689070449524
520	KIC09774400_morp0.45.png	2	0.45	SemiDetached	59.36135024283624	52.80867708223422
521	KIC08581658_morp0.36.png	2	0.36	Detached	38.420068245095386	17.115206162758966
522	KIC07375795_morp0.12.png	2	0.12	Detached	29.727444654684135	-0.23749487302678324
523	KIC10123627_morp0.96.png	3	0.96	Ellipsoidal	-66.16677164278765	-27.919731085508523
524	KIC07941050_morp0.86.png	3	0.86	Ellipsoidal	-75.67823890987894	-28.029888391139888
525	KIC07369523_morp0.4.png	2	0.4	Detached	27.861510547390026	-19.03297881079971
526	KIC09574614_morp0.4.png	1	0.4	Detached	49.36980313023705	88.56599733810044
527	KIC04540632_morp0.01.png	0	0.01	Detached	76.70856287706815	-43.68858068875947
528	KIC09788113_morp0.99.png	3	0.99	Ellipsoidal	-69.15004432494423	-32.37087296873504
529	KIC09827122_morp0.86.png	3	0.86	Ellipsoidal	-77.11853907706372	-11.99479971439953
530	KIC04247791_morp0.26.png	2	0.26	Detached	78.9094384461572	57.031087292416736
531	KIC05282049_morp0.21.png	2	0.21	Detached	90.77633907141765	38.775264332121644
532	KIC09784371_morp0.95.png	3	0.95	Ellipsoidal	-79.37447735567953	-36.04437251491244
533	KIC06603043_morp0.03.png	0	0.03	Detached	77.2398593818465	-46.72669751210665
534	KIC11287726_morp0.35.png	2	0.35	Detached	39.43106192616271	36.8617572353106
535	KIC08098300_morp0.36.png	2	0.36	Detached	28.217599588740935	-2.6402515237673922
