# KIC10288502_morp_0.97_T0_54964.677419_P_0.2301847, none
# name, value
id,KIC10288502_morp_0.97_T0_54964.677419_P_0.2301847,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1459.4891532999463,total time base of observations in days
t_mean,2455636.918295714,time series mean time reference point
period,0.2301846999999932,orbital period in days
p_err,2.1187630438778046e-09,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,754.0,number of free parameters after the prewhitening phase
bic_prew,-652977.2378499121,BIC after the prewhitening phase
noise_level_prew,0.0004081947563064485,noise level after the prewhitening phase
t_1,0.35856505055724,time of primary minimum with respect to the mean time
t_2,0.47395422402471,time of secondary minimum with respect to the mean time
t_1_1,0.30159381996661105,time of primary first contact with respect to the mean time
t_1_2,0.41580928047506815,time of primary last contact with respect to the mean time
t_2_1,0.4164793488068365,time of secondary first contact with respect to the mean time
t_2_2,0.5311077610800454,time of secondary last contact with respect to the mean time
t_b_1_1,0.35856505055724,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,0.35856505055724,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,0.47395422402471,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,0.47395422402471,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.016347961122016665,depth of primary minimum
depth_2,0.015913009827183563,depth of secondary minimum
t_1_err,1.1182744792300268e-05,error in time of primary minimum (t_1)
t_2_err,1.0749775025932181e-05,error in time of secondary minimum (t_2)
t_1_1_err,1.5814789349828137e-05,error in time of primary first contact (t_1_1)
t_1_2_err,1.5814789349828137e-05,error in time of primary last contact (t_1_2)
t_2_1_err,1.520247745096148e-05,error in time of secondary first contact (t_2_1)
t_2_2_err,1.5202477817304279e-05,error in time of secondary last contact (t_2_2)
t_b_1_1_err,1.5814789349828137e-05,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,1.5814789349828137e-05,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,1.520247745096148e-05,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,1.5202477817304279e-05,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,6.278185945715769e-06,error in depth of primary minimum
d_2_err,6.278185945715769e-06,error in depth of secondary minimum
t_1_ind_err,0.00044529586270080105,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0004280550466740425,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0006297434483001005,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.0006297434483001005,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.000605361245154811,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.0006053612597425472,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.0005888587073128925,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.0005888587073128925,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.0006054438299695105,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.0006054438299695105,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0004999344343152622,individual error in depth of primary minimum
d_2_ind_err,0.0004999344343152622,individual error in depth of secondary minimum
ecosw_form,0.002025537230718479,e*cos(w) from timing formulae
esinw_form,0.0028181293952414983,e*sin(w) from timing formulae
cosi_form,8.942068244934903e-15,cosine of inclination from timing formulae
phi_0_form,1.6343946709415273,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,-0.8523496614704457,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,8.865536254899475e-13,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.003470540932095586,eccentricity from timing formulae
w_form,0.9475954227116968,argument of periastron (radians) from timing formulae
i_form,1.5707963267948877,inclination (radians) from timing formulae
r_sum_form,0.9979662865818016,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,0.14049159353065954,radius ratio r2/r1 from timing formulae
sb_rat_form,1.0000000000020413,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.0001058526084648387,formal uncorrelated error in ecosw
esinw_sig,0.00021171407878949533,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.00021170521692139227,formal uncorrelated error in phi_0
log_rr_sig,5.340824635886516e-05,scaled error formal estimate for log_rr
log_sb_sig,8.140921433994113e-13,scaled formal error estimate for log_sb
e_sig,0.00018267851753449305,formal uncorrelated error in e
w_sig,0.043370678986351094,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,1.267933467090817e-06,formal uncorrelated error in r_sum
r_rat_sig,8.803205982026644e-06,scaled error formal estimate for r_rat
sb_rat_sig,0.9182661037014775,scaled error formal estimate for sb_rat
ecosw_low,0.0001089085601141454,lower error estimate in ecosw
ecosw_upp,0.0001058526084648387,upper error estimate in ecosw
esinw_low,0.00043743396262886934,lower error estimate in esinw
esinw_upp,0.00043743396262886934,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
