# KIC07219906_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
13716,13715,14081,14656,15371,15371,15371,15371,15371,15371,15371,16088,16666,17008,17007
910148,910148,910427,910980,911668,911668,911668,911668,911668,911668,911668,912341,912871,913355,913354
