# TIC 0294092960_morp_ 0.671_T0_ 1571.428415_P_ 0.9022575_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
155425,155424,160876,169846,180998,180998,180998,180998,180998,180998,180998,192040,201036,205970,205970
407534,407534,413566,421468,447030,447030,447030,447030,447030,447030,447030,499943,537092,540809,540809
