# KIC08123430_morp_-1.0_T0_55000.824704_P_11.16999, none
# name, value
id,KIC08123430_morp_-1.0_T0_55000.824704_P_11.16999,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1470.4623352698982,total time base of observations in days
t_mean,2455681.8702605423,time series mean time reference point
period,11.170101701017813,orbital period in days
p_err,0.00048096098985488415,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,1507.0,number of free parameters after the prewhitening phase
bic_prew,-919468.6963416121,BIC after the prewhitening phase
noise_level_prew,0.00018672074898417237,noise level after the prewhitening phase
t_1,11.518977836321838,time of primary minimum with respect to the mean time
t_2,15.408924963241615,time of secondary minimum with respect to the mean time
t_1_1,10.187902506146422,time of primary first contact with respect to the mean time
t_1_2,12.661814424392961,time of primary last contact with respect to the mean time
t_2_1,12.841541540489455,time of secondary first contact with respect to the mean time
t_2_2,17.657267622168543,time of secondary last contact with respect to the mean time
t_b_1_1,11.518977836321838,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,11.518977836321838,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,14.511719157206656,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,16.234597366449854,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.001912188490161224,depth of primary minimum
depth_2,0.0004525150899800073,depth of secondary minimum
t_1_err,0.01315661107436663,error in time of primary minimum (t_1)
t_2_err,0.07169445826601249,error in time of secondary minimum (t_2)
t_1_1_err,0.022513234045311234,error in time of primary first contact (t_1_1)
t_1_2_err,0.013621305101554177,error in time of primary last contact (t_1_2)
t_2_1_err,0.10174824853923764,error in time of secondary first contact (t_2_1)
t_2_2_err,0.10103304065218247,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.022513234045311234,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.013621305101554177,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.10174824853923764,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.10103304065218247,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,1.9904498720940838e-05,error in depth of primary minimum
d_2_err,1.9904498720940838e-05,error in depth of secondary minimum
t_1_ind_err,0.07600881304058926,individual error in time of primary minimum (t_1)
t_2_ind_err,0.41419561949390615,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.1300642078584412,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.07869345889915638,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.5878233807104184,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.5836914578113486,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.051029538200744455,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.051029538200744455,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.5832432799248649,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.5825660832468575,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0002286852797007614,individual error in depth of primary minimum
d_2_ind_err,0.0002286852797007614,individual error in depth of secondary minimum
ecosw_form,-0.22213678865682046,e*cos(w) from timing formulae
esinw_form,0.38527102495541554,e*sin(w) from timing formulae
cosi_form,5.128519797828773e-23,cosine of inclination from timing formulae
phi_0_form,1.5707948980687974,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,1.66939307857476,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.6211429919818678,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.444722964939929,eccentricity from timing formulae
w_form,2.0938117945342185,argument of periastron (radians) from timing formulae
i_form,1.5707963267948966,inclination (radians) from timing formulae
r_sum_form,0.8022214844542198,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,46.70819434586308,radius ratio r2/r1 from timing formulae
sb_rat_form,0.2392527884017656,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.01025041955277702,formal uncorrelated error in ecosw
esinw_sig,0.023984008244565494,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.02050083249934515,formal uncorrelated error in phi_0
log_rr_sig,0.0037558903552951206,scaled error formal estimate for log_rr
log_sb_sig,0.007304323976217592,scaled formal error estimate for log_sb
e_sig,0.021399291819052188,formal uncorrelated error in e
w_sig,0.03353146345288993,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.0162692593775585,formal uncorrelated error in r_sum
r_rat_sig,0.10508660836586843,scaled error formal estimate for r_rat
sb_rat_sig,0.002813490454305802,scaled error formal estimate for sb_rat
ecosw_low,0.010590046628300348,lower error estimate in ecosw
ecosw_upp,0.01025041955277702,upper error estimate in ecosw
esinw_low,0.06224985154132615,lower error estimate in esinw
esinw_upp,0.06224985154132615,upper error estimate in esinw
