# TIC 0062257830_morp_ 0.544_T0_ 1816.188320_P_ 0.2060441, none
# name, value
id,TIC 0062257830_morp_ 0.544_T0_ 1816.188320_P_ 0.2060441,target identifier
stage,  9,furthest stage the analysis reached
t_tot,24.947297563776374,total time base of observations in days
t_mean,2451828.628027448,time series mean time reference point
period,0.20602967792254823,orbital period in days
p_err,2.3498222210499313e-06,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,303.0,number of free parameters after the prewhitening phase
bic_prew,-5464.098718817862,BIC after the prewhitening phase
noise_level_prew,0.1561079186700435,noise level after the prewhitening phase
t_1,0.3343897981329406,time of primary minimum with respect to the mean time
t_2,0.427125703168886,time of secondary minimum with respect to the mean time
t_1_1,0.3179976485059173,time of primary first contact with respect to the mean time
t_1_2,0.35081697284023594,time of primary last contact with respect to the mean time
t_2_1,0.4000710949875563,time of secondary first contact with respect to the mean time
t_2_2,0.45090320001606826,time of secondary last contact with respect to the mean time
t_b_1_1,0.3343897981329406,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,0.3343897981329406,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,0.427125703168886,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,0.427125703168886,end of (flat) eclipse bottom right of secondary minimum
depth_1,1.7894366585548165,depth of primary minimum
depth_2,1.2396297631308193,depth of secondary minimum
t_1_err,0.00019389200808639495,error in time of primary minimum (t_1)
t_2_err,0.0002657847929279459,error in time of secondary minimum (t_2)
t_1_1_err,0.00027145076034569863,error in time of primary first contact (t_1_1)
t_1_2_err,0.0002769312692832657,error in time of primary last contact (t_1_2)
t_2_1_err,0.0004077120179095645,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0003410822995394443,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.00027145076034569863,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0002769312692832657,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.0004077120179095645,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0003410822995394443,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.0173097441068014,error in depth of primary minimum
d_2_err,0.0173097441068014,error in depth of secondary minimum
t_1_ind_err,0.001077393236727486,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0014768774698438807,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0015083613614991008,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.001538814722220025,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.0022655197342252033,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.0018952806065503903,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.0006040003064606156,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.0006040003064606156,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.001375907777687411,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.001375907777687411,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.1911923727747511,individual error in depth of primary minimum
d_2_ind_err,0.1911923727747511,individual error in depth of secondary minimum
ecosw_form,-0.07633315686882525,e*cos(w) from timing formulae
esinw_form,0.23065278865435654,e*sin(w) from timing formulae
cosi_form,2.7422508686313848e-14,cosine of inclination from timing formulae
phi_0_form,0.6643295258987229,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,-9.612542716964155e-10,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.5401549358963786,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.24295567445851507,eccentricity from timing formulae
w_form,1.8903949434873397,argument of periastron (radians) from timing formulae
i_form,1.5707963267948692,inclination (radians) from timing formulae
r_sum_form,0.5801391051314531,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,0.9999999977866303,radius ratio r2/r1 from timing formulae
sb_rat_form,0.28830027994970653,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.0025082887862105294,formal uncorrelated error in ecosw
esinw_sig,0.008425451128839478,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.005016556921476695,formal uncorrelated error in phi_0
log_rr_sig,3.061908066070832e-10,scaled error formal estimate for log_rr
log_sb_sig,0.011989337911370511,scaled formal error estimate for log_sb
e_sig,0.008037527564938193,formal uncorrelated error in e
w_sig,0.014655358370927062,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.0023253678467358247,formal uncorrelated error in r_sum
r_rat_sig,0.3185325828399245,scaled error formal estimate for r_rat
sb_rat_sig,0.006399144479766147,scaled error formal estimate for sb_rat
ecosw_low,0.0025082887862105294,lower error estimate in ecosw
ecosw_upp,0.0025095695245167388,upper error estimate in ecosw
esinw_low,0.012850305398849543,lower error estimate in esinw
esinw_upp,0.012850305398849543,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
cosi_upp,0.034992854604336196,upper error estimate in cosi
phi_0_low,0.00526225089849186,lower error estimate in phi_0
phi_0_upp,0.005594168536908195,upper error estimate in phi_0
log_rr_low,4.5640119049279194e-10,lower error estimate in log_rr
log_rr_upp,4.656893207389625e-10,upper error estimate in log_rr
log_sb_low,0.018234729807615535,lower error estimate in log_sb
log_sb_upp,0.01211547775709898,upper error estimate in log_sb
e_low,0.012224373401713251,lower error estimate in e
e_upp,0.01222503976664603,upper error estimate in e
w_low,0.019230000102963066,lower error estimate in w
w_upp,0.019295414017130544,upper error estimate in w
i_low,0.035,lower error estimate in i
i_upp,0.035,upper error estimate in i
r_sum_low,0.0034984037480708663,lower error estimate in r_sum
r_sum_upp,0.003616131796099209,upper error estimate in r_sum
r_rat_low,0.3185325828399245,lower error estimate in r_rat
r_rat_upp,0.3185325828399245,upper error estimate in r_rat
sb_rat_low,0.01185426470826334,lower error estimate in sb_rat
sb_rat_upp,0.008155923036353041,upper error estimate in sb_rat
ecosw_phys,-0.07394451065335175,e cos(w) of the physical model
esinw_phys,0.16474139528620774,e sin(w) of the physical model
cosi_phys,0.07496787535993646,cos(i) of the physical model
phi_0_phys,0.6481635928510434,phi_0 of the physical model
log_rr_phys,0.026124891273927944,log of radius ratio of the physical model
log_sb_phys,-0.5591808839488481,log of surface brightness ratio of the physical model
e_phys,0.18057551876323158,eccentricity of the physical model
