# TIC 0307433122_morp_ 0.031_T0_ 1364.079530_P_ 27.8513812_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
147609,147609,149462,150080,150934,150934,150934,150934,150934,150934,150934,151831,152523,152995,152995
806177,806176,807007,807724,808691,808691,808691,808691,808691,808691,808691,809653,810352,811982,811981
