# TIC 0377390037_morp_ 0.813_T0_ 1871.142536_P_ 1.8044896, none
# name, value
id,TIC 0377390037_morp_ 0.813_T0_ 1871.142536_P_ 1.8044896,target identifier
stage,  9,furthest stage the analysis reached
t_tot,27.34242098312825,total time base of observations in days
t_mean,2451884.1140995496,time series mean time reference point
period,1.8055368113697519,orbital period in days
p_err,0.0005260614925880257,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,92.0,number of free parameters after the prewhitening phase
bic_prew,-130896.7546506798,BIC after the prewhitening phase
noise_level_prew,0.0002482210808551721,noise level after the prewhitening phase
t_1,1.468531222985188,time of primary minimum with respect to the mean time
t_2,2.3947310060709923,time of secondary minimum with respect to the mean time
t_1_1,1.0458799103075758,time of primary first contact with respect to the mean time
t_1_2,1.9113756795543035,time of primary last contact with respect to the mean time
t_2_1,1.940547766987692,time of secondary first contact with respect to the mean time
t_2_2,2.8169670448667157,time of secondary last contact with respect to the mean time
t_b_1_1,1.468531222985188,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,1.468531222985188,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,2.3947310060709923,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,2.3947310060709923,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.004138514771565745,depth of primary minimum
depth_2,0.001994305772690579,depth of secondary minimum
t_1_err,0.0051435209651031055,error in time of primary minimum (t_1)
t_2_err,0.00770284409919912,error in time of secondary minimum (t_2)
t_1_1_err,0.007560733563427592,error in time of primary first contact (t_1_1)
t_1_2_err,0.006975567335828695,error in time of primary last contact (t_1_2)
t_2_1_err,0.010893467109468088,error in time of secondary first contact (t_2_1)
t_2_2_err,0.01089346607839781,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.007560733563427592,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.006975567335828695,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.010893467109468088,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.01089346607839781,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,7.10317090308657e-05,error in depth of primary minimum
d_2_err,7.600187393716224e-05,error in depth of secondary minimum
t_1_ind_err,0.010773309128477598,individual error in time of primary minimum (t_1)
t_2_ind_err,0.01613391317196239,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.015836257005560517,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.014610603080119263,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.022816799901747946,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.02281679774213026,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.010905800639738866,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.010905800639738866,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.022816799901747946,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.022816799901747946,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0002841268361234628,individual error in depth of primary minimum
d_2_ind_err,0.00030400749574864896,individual error in depth of secondary minimum
ecosw_form,0.020385518499040998,e*cos(w) from timing formulae
esinw_form,0.009517903298172837,e*sin(w) from timing formulae
cosi_form,0.4808869566333578,cosine of inclination from timing formulae
phi_0_form,1.771023861963901,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,2.6253215773530023,logarithm of the radius ratio r2/r1 from timing formulae
