# KIC09529733_morp_0.46_T0_54967.076403_P_4.809132.csv, none
# name, value
id,KIC09529733_morp_0.46_T0_54967.076403_P_4.809132.csv,target identifier
stage,  9,furthest stage the analysis reached
t_tot,93.402435970027,total time base of observations in days
t_mean,2455786.5703705046,time series mean time reference point
period,4.809130871525315,orbital period in days
p_err,7.11563564744933e-05,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,324.0,number of free parameters after the prewhitening phase
bic_prew,-60163.67561694661,BIC after the prewhitening phase
noise_level_prew,0.00020367819087369174,noise level after the prewhitening phase
t_1,7.678679613411881,time of primary minimum with respect to the mean time
t_2,10.083742794717487,time of secondary minimum with respect to the mean time
t_1_1,7.514466866460031,time of primary first contact with respect to the mean time
t_1_2,7.8433059460322685,time of primary last contact with respect to the mean time
t_2_1,9.919164553453907,time of secondary first contact with respect to the mean time
t_2_2,10.247657375257136,time of secondary last contact with respect to the mean time
t_b_1_1,7.678679613411881,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,7.678679613411881,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,10.023282340940218,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,10.143799281097582,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.13030047888710686,depth of primary minimum
depth_2,0.10003191340267098,depth of secondary minimum
t_1_err,0.0011403494131582584,error in time of primary minimum (t_1)
t_2_err,0.0010958272614202686,error in time of secondary minimum (t_2)
t_1_1_err,0.0016164911394287134,error in time of primary first contact (t_1_1)
t_1_2_err,0.0016088951278781338,error in time of primary last contact (t_1_2)
t_2_1_err,0.001562457222456281,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0015369049988472239,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.0016164911394287134,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0016088951278781338,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.001562457222456281,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0015369049988472239,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,5.577956980668191e-05,error in depth of primary minimum
d_2_err,5.577956980668191e-05,error in depth of secondary minimum
t_1_ind_err,0.0026461550464244267,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0025428423993184247,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0037510311635562087,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.0037334047903890616,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.0036256466801471423,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.003566353322628583,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.00010683477697520568,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.00010683477697520568,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.0034766132781992778,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.003338801401604248,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0002494538196868711,individual error in depth of primary minimum
d_2_ind_err,0.0002494538196868711,individual error in depth of secondary minimum
ecosw_form,0.00016257756021151198,e*cos(w) from timing formulae
esinw_form,-0.0005308313899911412,e*sin(w) from timing formulae
cosi_form,0.12225448585234806,cosine of inclination from timing formulae
phi_0_form,0.21470146869135967,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,0.4686522812931383,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.11498218620001391,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.0005551697287174931,eccentricity from timing formulae
w_form,5.0095878036584836,argument of periastron (radians) from timing formulae
i_form,1.448235235101461,inclination (radians) from timing formulae
r_sum_form,0.2442548512226715,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,2.942065120490272,radius ratio r2/r1 from timing formulae
sb_rat_form,0.767392965480008,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.002215662637898388,formal uncorrelated error in ecosw
esinw_sig,0.0106735980644249,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0010331479222221445,formal uncorrelated error in phi_0
log_rr_sig,0.2045659184196759,scaled error formal estimate for log_rr
log_sb_sig,0.011256276565724078,scaled formal error estimate for log_sb
e_sig,0.010226278071692737,formal uncorrelated error in e
w_sig,6.801503869354367,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.01660491970050226,formal uncorrelated error in r_sum
r_rat_sig,1.2842063880771697,scaled error formal estimate for r_rat
sb_rat_sig,0.07512457137497944,scaled error formal estimate for sb_rat
ecosw_low,0.002215662637898388,lower error estimate in ecosw
ecosw_upp,0.002215662637898388,upper error estimate in ecosw
esinw_low,0.0106735980644249,lower error estimate in esinw
esinw_upp,0.0106735980644249,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
cosi_upp,0.04050075186798803,upper error estimate in cosi
phi_0_low,0.0010331479222221445,lower error estimate in phi_0
phi_0_upp,0.00110808696263065,upper error estimate in phi_0
log_rr_low,0.2045659184196759,lower error estimate in log_rr
log_rr_upp,0.2045659184196759,upper error estimate in log_rr
log_sb_low,0.011256276565724078,lower error estimate in log_sb
log_sb_upp,0.011256276565724078,upper error estimate in log_sb
e_low,0.010226278071692737,lower error estimate in e
e_upp,0.010226278071692737,upper error estimate in e
w_low,6.801503869354367,lower error estimate in w
w_upp,6.801503869354367,upper error estimate in w
i_low,0.04092139323581434,lower error estimate in i
i_upp,0.035,upper error estimate in i
r_sum_low,0.01660491970050226,lower error estimate in r_sum
r_sum_upp,0.021023698056619355,upper error estimate in r_sum
r_rat_low,1.2842063880771697,lower error estimate in r_rat
r_rat_upp,1.2842063880771697,upper error estimate in r_rat
sb_rat_low,0.07512457137497944,lower error estimate in sb_rat
sb_rat_upp,0.07512457137497944,upper error estimate in sb_rat
ecosw_phys,0.00022748416226681353,e cos(w) of the physical model
esinw_phys,0.030590606296442533,e sin(w) of the physical model
cosi_phys,0.08851379756213167,cos(i) of the physical model
phi_0_phys,0.21277422498737783,phi_0 of the physical model
