# KIC09347868_morp_0.83_T0_54964.835249_P_0.31847, none
# name, value
id,KIC09347868_morp_0.83_T0_54964.835249_P_0.31847,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1459.4891122197732,total time base of observations in days
t_mean,2455717.979921627,time series mean time reference point
period,0.3184700000000146,orbital period in days
p_err,2.6696430176310137e-08,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,2033.0,number of free parameters after the prewhitening phase
bic_prew,-643330.8311511169,BIC after the prewhitening phase
noise_level_prew,0.0010078438437991454,noise level after the prewhitening phase
t_1,0.3579064980065144,time of primary minimum with respect to the mean time
t_2,0.5173521661221898,time of secondary minimum with respect to the mean time
t_1_1,0.27825070195071466,time of primary first contact with respect to the mean time
t_1_2,0.43947884843886864,time of primary last contact with respect to the mean time
t_2_1,0.44198170667172687,time of secondary first contact with respect to the mean time
t_2_2,0.5954124258824531,time of secondary last contact with respect to the mean time
t_b_1_1,0.3579064980065144,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,0.3579064980065144,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,0.5173521661221898,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,0.5173521661221898,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.17160555973720243,depth of primary minimum
depth_2,0.1605445481942812,depth of secondary minimum
t_1_err,0.000140652410507579,error in time of primary minimum (t_1)
t_2_err,1.3024808301828933e-05,error in time of secondary minimum (t_2)
t_1_1_err,1.4206823394072172e-05,error in time of primary first contact (t_1_1)
t_1_2_err,0.000280945846197127,error in time of primary last contact (t_1_2)
t_2_1_err,2.5354689423508203e-05,error in time of secondary first contact (t_2_1)
t_2_2_err,5.976809302212073e-06,error in time of secondary last contact (t_2_2)
t_b_1_1_err,1.4206823394072172e-05,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.000280945846197127,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,2.5354689423508203e-05,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,5.976809302212073e-06,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,1.8233244187214943e-05,error in depth of primary minimum
d_2_err,1.8233244187214943e-05,error in depth of secondary minimum
t_1_ind_err,0.004761712608246487,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0004409479630458974,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0004809644558138545,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.009511272314805098,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.000858369535725712,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.00020234170256111297,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.00020355757625953528,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.00020355757625953528,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.00020258854735223373,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.00020258854735223373,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.001234351578856589,individual error in depth of primary minimum
d_2_ind_err,0.001234351578856589,individual error in depth of secondary minimum
