,ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,label,b1,b10,b2,b3,b4,b5,b6,b7,b8,b9
0,TIC 0119058688,0.266,1525.909356,1.3483333,1.000087847790697,-0.0003908760289931475,-0.00013205639575596676,-0.00018700881993716863,-0.0003119150094942148,-0.00011949765292690904,-0.00022309651271635965,-0.0002548163677646972,-7.05789344135491e-05,-0.0001824353109330179,-0.00013689330970702952,7.3217243839447,Detached,0.00021481840863254206,7.215735901427857e-05,-0.00010152980614402826,2.0620727104429785e-05,-9.29350116057819e-05,-0.0001249147805131171,0.00011900453731671769,2.896964647197815e-05,-2.255343085534658e-05,2.152711688018528e-05
1,TIC 0101546875,0.299,1872.416621,4.6840246,4.197739818592983,2.3605482584009065,1.7502964960186818,-1.6503953757239482,-4.488143855065555,-3.642706316318999,0.32720343709475347,3.8508010964189427,3.2163254522224936,-1.3016755472637138,-3.6200897438256074,0.49343721147366776,Detached,0.5754946327337062,0.4698152207850825,0.8701777854081368,1.2070779795763567,0.22767243233007867,-1.7835374133488613,-2.1220698793174955,0.9803933095292381,3.2592307830858114,-2.537108692463022
2,TIC 0030714849,0.118,1683.243361,15.0688612,170.0210546358609,263.38725985951066,2206.2478719343776,-123.2146727629791,-1019.9500244051967,-696.3989381284786,1185.6418974741564,2150.7229962709894,381.5259523131042,-2349.0659709006377,-2167.9782764359993,0.02034126545876124,Detached,809.5268554130429,3029.8606512123415,1468.3970348201217,776.3017942476376,-969.0884322904024,-1309.6387663645567,466.2174352193804,1498.0282244452846,-818.0602260966631,-3630.041915614279
3,TIC 0054637745,0.253,1497.059672,8.9702618,-41.57876497128612,-25.150236586379826,-35.47298568916026,13.71053444102766,48.85362176176122,52.66884271754227,15.136681284101828,-41.26466676418488,-64.38908412958659,-8.213154194069238,86.69891541288867,0.510999965827647,Detached,-14.43100324971119,-12.157150990748656,-13.566673460404228,3.2796951198076076,18.341795215094407,13.506788094524943,-9.04334576473373,-23.42675702906589,-4.572942106562843,29.690453119760598
4,TIC 0118389230,0.756,1790.894841,4.2744394,5.296805515669038,-2.030751617629033,-0.4742810836353061,-6.760183446814114,3.590692473911094,5.756267039667139,-6.4193942657160274,-2.1094293723550956,8.2803750433558,-6.93171038258269,2.7873584385747483,1.6614946097712255,OverContact,0.009311273691875711,0.07784397331146022,0.013100504529049841,0.08656389906195125,-0.27323300767838204,0.1452376068006576,0.4807908735077372,-1.004334338520072,0.877528444855613,-0.3975378961559227
5,TIC 0050849800,0.587,1791.213962,1.4283347,0.999494725697844,-0.0798295746926213,-0.004953937497070935,-0.0975145034962486,-0.043374135624424694,-0.056608174542783815,-0.030973957245504263,-0.03793906592267311,-0.016747318081244456,-0.01848860207347212,-0.005882859875616088,6.343176699725859,SemiDetached,-0.005455294448701468,0.0008753131590400378,0.0038909511874347237,0.0024548057987189573,0.003811917204244231,0.0025206135931208347,0.0038532585670229447,0.001913300473889707,0.0024468081311965037,0.0008264353798785193
6,TIC 0048507019,0.297,1687.368173,5.3953039,0.9968567537387362,-0.012791780937010428,-0.0040853638087348905,-0.010497375274105531,-0.010658484318303086,-0.011171181399923501,-0.010588584194989481,-0.010235908601533993,-0.008601488601576597,-0.007232798582981785,-0.0056849992661247946,11.301006652394152,Detached,-0.0001679424445349211,0.00032483152616806125,-7.823339664335528e-05,0.00028985194695576737,0.0002739708121102707,0.00017446399723165186,0.000307828072307729,0.0003865060456344978,0.00045730655070532844,0.0003199353280405045
7,TIC 0056127811,0.305,1438.951017,3.7236125,0.9966081001508433,-0.015027669028891412,-0.005387276357023126,-0.014117387854513263,-0.013406084098238142,-0.012593623475250604,-0.011816516598427182,-0.01097558680013162,-0.009887843183548012,-0.00855811434972778,-0.006995334186048076,11.476438851747737,Detached,0.00042034215570244755,0.000674862435060626,0.000697160621008574,0.0007013568973612001,0.0005206381019762918,0.0003327830803578394,0.0002777042064587914,0.00039912570932368633,0.000600769943100384,0.0007192632359164336
8,TIC 0053963396,0.507,1957.953358,2.7336262,0.999348000538335,-0.01710313834523676,-0.008653122255133493,-0.0169636911267499,-0.01185899845692994,-0.015532726683431908,-0.010942508251233565,-0.013723519492238935,-0.008671890568832318,-0.011148152728760696,-0.006448427638629295,6.4459813516238835,SemiDetached,-0.0002588198050207519,0.0007542890583458556,-0.0012567342033556654,0.00026709767254330864,0.0007188813205303945,0.000773355741061157,0.0006885966026755508,0.000585924406376331,0.0007084106807501796,0.0006012580114445833
9,TIC 0040219040,0.764,1683.940342,0.5247287,-127.9622799343878,17.195388236689425,-18.273650274873685,184.85401334012312,48.60339557830358,-168.010220799375,-64.0051771553678,157.73989834739498,25.710616126977314,-142.82409654353705,87.83104546297352,1.3161185999410232,OverContact,6.643363560638999,1.4253390605851022,-1.3428375736279685,-7.374017928334455,2.7331302151651293,8.561422561903871,-5.666443013690239,-8.081510874227757,13.001448738577931,-7.022889772538239
10,TIC 0050743469,0.574,1473.363685,5.7344094,0.9998439700617521,-0.002575080377165124,-0.0003093325703286702,-0.006845410336845481,-0.003497563779747334,-0.0036428195845880453,-0.0018929826029433433,-0.0007451849308757333,-0.002661022374023359,-0.00024286013425279369,-0.0008068140211844085,6.2413164629448765,SemiDetached,-0.0012602249873573915,0.00022347909861846567,0.002796374376999089,-0.0023338397663354095,0.0008478568434231159,-0.0002984028870414753,0.000909433375871506,0.0002216337148484885,0.0005431083855086546,0.0005617446450065035
11,TIC 0056001210,0.845,1438.165556,0.1893725,-163.47108762130676,-85.20339230788977,-92.97972130171195,85.12807911979002,202.98417761630253,158.30821270647544,-24.09129316270687,-182.41468692492464,-146.32935909475515,69.14846604649337,179.69454063253755,0.5706422719084278,Ellipsoidal,-38.41137767546194,-8.973180502993918,-45.13491673244369,-12.983991481132886,30.845028958604658,45.57618674207523,12.63702251265367,-37.16432138346701,-35.4991785151042,41.649385556529495
12,TIC 0056023695,0.578,1492.911881,8.1783355,0.9932428192288179,-0.003719654422160388,-0.01721026782827528,-0.06760457530925416,-0.05298733555551864,-0.01339945715002882,-0.06304337203585142,-0.004055951450997756,-0.03503148210110859,-0.020470070662694052,-0.01222095115201704,6.5588595734821595,SemiDetached,-0.026267050063232145,-0.0014630113604225947,0.04846674131494313,-0.04014902503254867,0.024994161333883227,-0.008231469607213293,-0.00906524495783829,0.01637897290449988,-0.01195486770469238,0.008586508153855003
13,TIC 0101645013,0.851,1983.821579,0.4712987,0.9792520896363928,0.049196044673352694,-0.0017832420235389561,-0.10312583593025772,-0.0811152030188433,0.016838258571143794,-0.02518906333783986,0.004987299430360995,-0.0052605170560188225,-0.0033761719774870413,0.0010501843808759107,5.00495090958455,Ellipsoidal,-0.0017907856266329762,0.0007374949311726386,0.008132168239453211,0.009598905775243461,-0.0024670326226892293,0.005001379501456919,-0.0011127958641229344,0.0014997389156654786,0.00108538883328985,-0.0003868960880022721
