ID,morph,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,label
TIC 0126446153,0.581,1492.976107,4.2102754,0.9976887686993716,-0.018166978754280246,-0.01565709293635495,-0.048214119542814626,-0.02626766405783332,-0.032542467588088,-0.02384111170347831,-0.02710603600395554,-0.01931507881543706,-0.021539925468335983,-0.01363668449538707,6.488696204867137,SemiDetached
TIC 0278829112,0.792,2062.138205,0.2457785,0.9036578809593073,0.18599205937446944,-0.002774519855190351,-0.18528710982537935,0.09963439067720714,-0.10244910080333848,0.07159207357364855,-0.05612585103284775,0.032353771406103814,-0.020231915518740526,0.0072786637071831275,4.65562312349832,OverContact
TIC 0077044472,0.391,1356.104448,2.6857078,1.0015040169572038,-0.005503198532120118,-0.006717700840664304,-0.01047926887376759,-0.00444220823407437,-0.00345405813940104,-0.0052517092937420335,-0.0032173754379970654,-0.004326649644425423,-0.004116525808816138,-0.005242366794878586,8.002876597178718,Detached
TIC 0103452621,0.191,1819.789813,6.4198319,-19.772477127860384,-12.4984920033931,-21.889318862045158,5.288683221772048,22.939065102478526,27.661827722738714,11.674399357674599,-18.84346227451742,-37.969711904318004,-10.606327016600224,55.01465004572604,0.43194998038541715,Detached
TIC 0023753424,0.94,1738.987683,0.3455705,0.35061008785922265,0.3435036458918877,-0.22706927789229037,0.30239488725793995,0.19416930490483944,0.024191789528735227,-0.13872745966014183,-0.19468071697810937,-0.08314733803613208,0.1453448242381681,0.2635718452250111,0.9569561038806319,Ellipsoidal
TIC 0360571125,0.355,1626.208204,2.4624055,0.9998326685055665,-0.0010907859811280117,-0.0005836553077388044,-0.000999303922571866,-0.001112989850247968,-0.001016503712632521,-0.0008488938710668414,-0.0009020826754051002,-0.0008787675303787158,-0.0006976969532703266,-0.0006415856711355446,8.992741030132203,Detached
TIC 0159950145,0.728,1411.215975,0.3950963,-72.47750163358957,-59.2140346532883,425.9694627660539,-28.712907729963224,-3.367517915759394,-5.1135212446206735,-40.77741580101302,-93.62285247392812,-124.74619465119441,-82.53065407386653,85.63280610702752,0.005363733070978621,OverContact
TIC 0041865879,0.573,1354.542523,6.882728,0.9898133317445867,-0.10643422080346444,-0.018736239386825806,-0.08267108806254195,-0.04221504677751544,-0.06174799397280153,-0.03419221179001925,-0.048577246682221104,-0.023850588568327804,-0.03408114534029303,-0.01334757876004735,6.350108890841108,SemiDetached
TIC 0393491149,0.595,1598.49221,0.5543533,1.0001184770590017,-0.012695559871216181,-0.0031480772761441358,-0.03646459609035141,-0.009223242177795656,-0.02178957926123682,-0.007325195796951371,-0.015336786654988598,-0.004207463584675348,-0.008500610611878977,-0.0015533401201027032,6.318546644900106,SemiDetached
TIC 0198410480,0.739,1739.384757,1.1233451,1.0001629053548844,-0.003826169893550588,-0.0009524007649630805,-0.011772371014136071,-0.001297312152845385,-0.001161019705452841,-0.0009828764755154245,-0.0013116110880566857,-0.0009306773278098295,-0.0011549121496274445,-0.000798210583754363,6.449510921765454,OverContact
TIC 0184947995,0.323,1682.508438,3.4792304,2.4235412343049454,1.687142194738443,-0.3400216604502087,-0.07807303358930244,-1.782837589211656,-2.3227169632858717,-1.3017661207268507,0.5695277337543897,1.781148997365384,1.1292474680645268,-0.765653421361857,0.32074430694037154,Detached
TIC 0394728064,0.157,1639.812662,42.6178946,3.869640779592496,3.1634606429811227,-7.147097545550743,1.1918646584676842,-1.5578565836986178,-4.170427648580564,-5.339225947440546,-3.7675741410081764,0.8804949515742536,6.546098946503437,7.330995980545819,0.09439988039168713,Detached
TIC 0158113583,0.529,1683.560381,1.3872088,1.0006792834188925,-0.018076174235287335,-0.007413187895244513,-0.02563103270970425,-0.014380994457324546,-0.01643753201651951,-0.012234701049426207,-0.013867799747881148,-0.009465257813781611,-0.01066965921146099,-0.006648457492033713,6.492292315415429,SemiDetached
TIC 0258918835,0.265,1961.716195,5.9864612,3.1213514737997596,2.1393671750561225,-0.3704190282779464,-0.20787132210071632,-2.453331597171952,-3.1132614866538297,-1.6773374310367983,0.8502016405593464,2.4024082313672435,1.4159000212980064,-1.1073863283767498,0.30162091322783896,Detached
TIC 0399737080,0.578,1790.922234,0.9106007,0.9996866118466212,-0.012566793927561704,-0.001059924326837322,-0.018868453407495846,-0.008525186922443306,-0.011504037062460046,-0.005984054796215734,-0.007215498636945648,-0.0030837073604788852,-0.003347579223980016,-0.001278264134277562,6.307046895177756,SemiDetached
TIC 0177118376,0.878,1544.148752,0.4112904,0.9854214092137592,0.030007661787054413,-0.0007215607140442551,-0.04736457701891254,-0.03471638917823269,-0.001284387228569642,-0.0015132445664964857,-0.004506913272609282,0.003007258697849279,-0.003859991737548794,0.0014097063486422368,4.762780270907695,Ellipsoidal
TIC 0445067946,0.909,1842.833974,0.4084367,-1.4390996602500388,0.6242012287942399,-0.2665815036099049,2.9970039495479015,0.8626858559094085,-2.6712138468705806,-1.259155975563377,2.516415054058258,0.6658775339209984,-2.3978876324629557,1.351582552704999,1.313134678615484,Ellipsoidal
TIC 0289379110,0.531,2010.548571,1.9487604,1.0021850132586847,-0.10754636050311661,-0.029643617533549577,-0.140886230386325,-0.0848005185223612,-0.09838045798125074,-0.06835557770297185,-0.0766076501577726,-0.04709866505983645,-0.05219135050412681,-0.027617772381591063,6.4260181037303985,SemiDetached
TIC 0259006174,0.322,1682.657713,1.939628,2.6596313343526643,1.9439216101415342,-1.278166684122314,0.17434065565444903,-1.6937979481772845,-2.6025586001151098,-1.9853529599792903,-0.18995380556304828,1.5775535009204358,1.936072216523256,0.45814965098884564,0.2578293323128538,Detached
TIC 0262605041,0.211,1521.088454,3.6663285,-503.7593015455195,-353.088912363472,152.8451467854143,21.063918129492016,417.50054005808346,601.7494562052397,431.5885337302759,-25.388342341863822,-453.30200440022753,-428.4500383347619,140.24257476196266,0.2512220448732562,Detached
TIC 0150284425,0.377,1491.992257,3.0044462,0.9995812177009737,-0.006101062727007139,-0.009128747700568917,-0.01507361721776523,-0.013363030337493009,-0.010572274316749982,-0.014231349352389245,-0.006857719946336395,-0.012690437429525978,-0.007470990468483332,-0.008662118045622268,6.976409272512347,Detached
TIC 0193948188,0.272,1742.606138,5.6181129,1.0000632974294117,-0.0011931986580910965,-0.0006226917627529092,-0.0017093855529144823,-0.00046974440887120503,-0.0006392751956608716,-0.0007655756720210858,-0.0005185388422303602,-0.000770877820755159,-0.000573283403171778,-0.0006242334156323463,7.734766641880201,Detached
TIC 0101547609,0.562,1872.36778,21.454335,-1086.9544127564745,-671.8119024660408,-873.6516195677169,316.8798201177894,1231.3787761074166,1374.4650819958317,463.48344207214467,-984.6411797539639,-1666.9581584367322,-316.3521353748744,2215.1068835720603,0.3547426925975625,SemiDetached
TIC 0140212820,0.499,1438.473667,0.7776763,0.9999995517948294,-0.0022354272304808687,-0.0011219450131417367,-0.002936476485746009,-0.0015038729704932616,-0.0022117896588689833,-0.001340448702445732,-0.001945431250834478,-0.0010236772671025724,-0.001512351272983545,-0.0007762274992598688,6.349409959885003,SemiDetached
TIC 0135050395,0.123,1574.486047,6.7599877,1.0002113588544075,8.303674452643272e-05,-0.0005407068966932511,-0.0009156396411524773,-0.0005510416245904029,-0.0005989908823844508,-0.0005413225096317196,-0.00046866408748197304,-0.0006251873248505484,-0.0005633247637414705,-0.0005533718135877087,7.762016578995337,Detached
