# TIC 0347506869_morp_ 0.413_T0_ 1525.852953_P_ 10.3149658, none
# name, value
id,TIC 0347506869_morp_ 0.413_T0_ 1525.852953_P_ 10.3149658,target identifier
stage,  9,furthest stage the analysis reached
t_tot,24.639396778307855,total time base of observations in days
t_mean,2451528.9380757594,time series mean time reference point
period,10.314140669645994,orbital period in days
p_err,0.003144577699040069,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,266.0,number of free parameters after the prewhitening phase
bic_prew,-73475.14470267497,BIC after the prewhitening phase
noise_level_prew,0.0016163313433256044,noise level after the prewhitening phase
t_1,7.2286933452960795,time of primary minimum with respect to the mean time
t_2,12.37824982112738,time of secondary minimum with respect to the mean time
t_1_1,6.904643349687147,time of primary first contact with respect to the mean time
t_1_2,7.549669723911842,time of primary last contact with respect to the mean time
t_2_1,12.06181166894449,time of secondary first contact with respect to the mean time
t_2_2,12.705064009199972,time of secondary last contact with respect to the mean time
t_b_1_1,7.176318086600357,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,7.281006719085898,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,12.37824982112738,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,12.37824982112738,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.440309698234077,depth of primary minimum
depth_2,0.23498541677542575,depth of secondary minimum
t_1_err,0.005328105985713862,error in time of primary minimum (t_1)
t_2_err,0.006126479084569512,error in time of secondary minimum (t_2)
t_1_1_err,0.007595949000884199,error in time of primary first contact (t_1_1)
t_1_2_err,0.007473714762818145,error in time of primary last contact (t_1_2)
t_2_1_err,0.00912445815002226,error in time of secondary first contact (t_2_1)
t_2_2_err,0.008177973304136124,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.007595949000884199,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.007473714762818145,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.00912445815002226,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.008177973304136124,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.0010720496953730957,error in depth of primary minimum
d_2_err,0.0011429188535098966,error in depth of secondary minimum
t_1_ind_err,0.005836647674307561,individual error in time of primary minimum (t_1)
t_2_ind_err,0.006711221585404644,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.00832094522688621,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.00818704432790974,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.009995343107558098,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.008958520906700821,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.009886923926727301,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.009862880524355725,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.000917428723130694,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.000917428723130694,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0018568445406249392,individual error in depth of primary minimum
d_2_ind_err,0.0019795935232075116,individual error in depth of secondary minimum
ecosw_form,-0.0011443254191260814,e*cos(w) from timing formulae
esinw_form,-0.0013859321664763471,e*sin(w) from timing formulae
cosi_form,0.052695417255841696,cosine of inclination from timing formulae
phi_0_form,0.19619811474540186,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,0.00961669632320116,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.27329291803565253,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.0017973003741533864,eccentricity from timing formulae
w_form,4.022189201110844,argument of periastron (radians) from timing formulae
i_form,1.5180764915142866,inclination (radians) from timing formulae
r_sum_form,0.2016762896887676,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,1.0223902432389012,radius ratio r2/r1 from timing formulae
sb_rat_form,0.5329752990746317,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.001560295880773507,formal uncorrelated error in ecosw
esinw_sig,0.013299267076557474,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0024737768756784274,formal uncorrelated error in phi_0
log_rr_sig,0.16090906916429187,scaled error formal estimate for log_rr
log_sb_sig,0.0032801058801146606,scaled formal error estimate for log_sb
e_sig,0.01030331930233198,formal uncorrelated error in e
w_sig,4.758570677884146,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.008807920491550216,formal uncorrelated error in r_sum
r_rat_sig,17.106900003208548,scaled error formal estimate for r_rat
sb_rat_sig,0.006396855890069223,scaled error formal estimate for sb_rat
ecosw_low,0.001560295880773507,lower error estimate in ecosw
ecosw_upp,0.001560295880773507,upper error estimate in ecosw
esinw_low,0.015292933717054669,lower error estimate in esinw
esinw_upp,0.013299267076557474,upper error estimate in esinw
cosi_low,0.034992854604336196,lower error estimate in cosi
cosi_upp,0.034992854604336196,upper error estimate in cosi
phi_0_low,0.0028583155502573676,lower error estimate in phi_0
phi_0_upp,0.0024737768756784274,upper error estimate in phi_0
log_rr_low,0.16090906916429187,lower error estimate in log_rr
log_rr_upp,0.18105657259568547,upper error estimate in log_rr
log_sb_low,0.0036908095453472844,lower error estimate in log_sb
