# KIC03115480_morp_0.28_T0_54968.194275_P_3.6937025_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
673171,673171,675989,679266,684714,684714,684714,684714,684714,684714,684714,690184,693487,696312,696311
923271,923271,926082,929493,934767,934767,934767,934767,934767,934767,934767,939987,943383,946279,946279
