,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err
5774,55220.19445119,-0.15844029,0.999957,3.1e-05,1.009604,3.1e-05,0.999928,3.1e-05,
5775,55220.2148849,-0.15749048,0.99988,3.1e-05,1.009531,3.1e-05,0.99985,3.1e-05,
5776,55220.2353184,-0.15654067,0.999865,3.1e-05,1.009522,3.1e-05,0.999835,3.1e-05,
5777,55220.25575201,-0.15559086,0.999936,3.1e-05,1.009596,3.1e-05,0.999906,3.1e-05,
5778,55220.27618572,-0.15464105,0.999878,3.1e-05,1.009532,3.1e-05,0.999848,3.1e-05,
5779,55220.29661922,-0.15369124,0.999852,3.1e-05,1.009496,3.1e-05,0.999822,3.1e-05,
5780,55220.31705283,-0.15274143,1.000009,3.1e-05,1.009641,3.1e-05,0.999978,3.1e-05,
5781,55220.33748644,-0.15179162,0.999933,3.1e-05,1.009553,3.1e-05,0.999902,3.1e-05,
5782,55220.35792004,-0.15084181,0.999941,3.1e-05,1.009554,3.1e-05,0.999909,3.1e-05,
5783,55220.37835365,-0.149892,1.00001,3.1e-05,1.009624,3.1e-05,0.999978,3.1e-05,
5784,55220.39878726,-0.14894219,0.999769,3.1e-05,1.009382,3.1e-05,0.999737,3.1e-05,
5785,55220.41922097,-0.14799238,1.000068,3.1e-05,1.009692,3.1e-05,1.000035,3.1e-05,
5786,55220.43965448,-0.14704257,1.000017,3.1e-05,1.009645,3.1e-05,0.999984,3.1e-05,
5787,55220.46008809,-0.14609276,0.999987,3.1e-05,1.009621,3.1e-05,0.999954,3.1e-05,
5788,55220.50095531,-0.14419314,0.999964,3.1e-05,1.009609,3.1e-05,0.99993,3.1e-05,
5789,55220.52138892,-0.14324333,0.999948,3.1e-05,1.009597,3.1e-05,0.999913,3.1e-05,
5790,55220.54182263,-0.14229351,0.999928,3.1e-05,1.009576,3.1e-05,0.999894,3.1e-05,
5791,55220.56225614,-0.14134371,0.999847,3.1e-05,1.009485,3.1e-05,0.999812,3.1e-05,
5792,55220.58268975,-0.1403939,0.999817,3.1e-05,1.009441,3.1e-05,0.999781,3.1e-05,
5793,55220.60312336,-0.13944409,0.999864,3.1e-05,1.009474,3.1e-05,0.999828,3.1e-05,
5794,55220.62355698,-0.13849428,0.999822,3.1e-05,1.009423,3.1e-05,0.999786,3.1e-05,
5795,55220.64399059,-0.13754447,1.000005,3.1e-05,1.009608,3.1e-05,0.999969,3.1e-05,
5796,55220.6644242,-0.13659466,0.999728,3.1e-05,1.009334,3.1e-05,0.999691,3.1e-05,
5797,55220.70529143,-0.13469504,0.99984,3.1e-05,1.009473,3.1e-05,0.999803,3.1e-05,
5798,55220.72572504,-0.13374523,0.99955,3.1e-05,1.009189,3.1e-05,0.999512,3.1e-05,
5799,55220.74615866,-0.13279542,0.999654,3.1e-05,1.009302,3.1e-05,0.999616,3.1e-05,
5800,55220.76659227,-0.1318456,0.999852,3.1e-05,1.009506,3.1e-05,0.999814,3.1e-05,
5801,55220.78702579,-0.1308958,0.999816,3.1e-05,1.009468,3.1e-05,0.999777,3.1e-05,
5802,55220.8074595,-0.12994598,0.999746,3.1e-05,1.009392,3.1e-05,0.999707,3.1e-05,
5803,55220.82789312,-0.12899617,0.999654,3.1e-05,1.009289,3.1e-05,0.999615,3.1e-05,
5804,55220.84832664,-0.12804637,0.999559,3.1e-05,1.009179,3.1e-05,0.999519,3.1e-05,
5805,55220.86876035,-0.12709655,0.999996,3.1e-05,1.00961,3.1e-05,0.999956,3.1e-05,
5806,55220.88919397,-0.12614674,0.999827,3.1e-05,1.009429,3.1e-05,0.999787,3.1e-05,
5807,55220.90962749,-0.12519694,0.999868,3.1e-05,1.00947,3.1e-05,0.999827,3.1e-05,
5808,55220.93006121,-0.12424712,0.999872,3.1e-05,1.009483,3.1e-05,0.999831,3.1e-05,
5809,55220.95049483,-0.12329731,0.999802,3.1e-05,1.009424,3.1e-05,0.999761,3.1e-05,
5810,55220.97092844,-0.1223475,0.999676,3.1e-05,1.009305,3.1e-05,0.999634,3.1e-05,
5811,55220.99136206,-0.12139769,0.999748,3.1e-05,1.009379,3.1e-05,0.999706,3.1e-05,
5812,55221.01179568,-0.12044788,0.999825,3.1e-05,1.009445,3.1e-05,0.999783,3.1e-05,
5813,55221.0322293,-0.11949807,0.99983,3.1e-05,1.009432,3.1e-05,0.999788,3.1e-05,
5814,55221.05266292,-0.11854826,0.999991,3.1e-05,1.009577,3.1e-05,0.999948,3.1e-05,
5815,55221.07309654,-0.11759845,0.999726,3.1e-05,1.009296,3.1e-05,0.999682,3.1e-05,
5816,55221.09353017,-0.11664863,0.999733,3.1e-05,1.009306,3.1e-05,0.999689,3.1e-05,
5817,55221.11396389,-0.11569882,0.999907,3.1e-05,1.009497,3.1e-05,0.999863,3.1e-05,
5818,55221.13439741,-0.11474901,0.999893,3.1e-05,1.009501,3.1e-05,0.999849,3.1e-05,
5819,55221.15483103,-0.1137992,0.99976,3.1e-05,1.009381,3.1e-05,0.999715,3.1e-05,
5820,55221.17526455,-0.1128494,0.999943,3.1e-05,1.009573,3.1e-05,0.999898,3.1e-05,
5821,55221.19569828,-0.11189958,0.999988,3.1e-05,1.009612,3.1e-05,0.999942,3.1e-05,
5822,55221.2161319,-0.11094977,1.000222,3.1e-05,1.009835,3.1e-05,1.000176,3.1e-05,
5823,55221.23656552,-0.10999996,0.999855,3.1e-05,1.009444,3.1e-05,0.999809,3.1e-05,
5824,55221.25699915,-0.10905015,0.999778,3.1e-05,1.009351,3.1e-05,0.999731,3.1e-05,
5825,55221.27743277,-0.10810034,0.999697,3.1e-05,1.009265,3.1e-05,0.999651,3.1e-05,
5826,55221.2978664,-0.10715053,0.999659,3.1e-05,1.009233,3.1e-05,0.999612,3.1e-05,
5827,55221.31830002,-0.10620071,0.999687,3.1e-05,1.009276,3.1e-05,0.99964,3.1e-05,
5828,55221.33873365,-0.1052509,0.999572,3.1e-05,1.009175,3.1e-05,0.999525,3.1e-05,
5829,55221.35916727,-0.10430109,0.999778,3.1e-05,1.009394,3.1e-05,0.99973,3.1e-05,
5830,55221.3796009,-0.10335128,0.999807,3.1e-05,1.009421,3.1e-05,0.999759,3.1e-05,
5831,55221.40003453,-0.10240147,0.999795,3.1e-05,1.009393,3.1e-05,0.999746,3.1e-05,
5832,55221.42046815,-0.10145166,0.999816,3.1e-05,1.009394,3.1e-05,0.999767,3.1e-05,
5833,55221.44090178,-0.10050185,0.999928,3.1e-05,1.009492,3.1e-05,0.999879,3.1e-05,
5834,55221.46133541,-0.09955204,0.99979,3.1e-05,1.009345,3.1e-05,0.99974,3.1e-05,
5835,55221.48176894,-0.09860223,0.999902,3.1e-05,1.009463,3.1e-05,0.999852,3.1e-05,
5836,55221.50220267,-0.09765241,0.999829,3.1e-05,1.009399,3.1e-05,0.999778,3.1e-05,
5837,55221.5226363,-0.0967026,0.999789,3.1e-05,1.009365,3.1e-05,0.999738,3.1e-05,
5838,55221.54306983,-0.0957528,0.999923,3.1e-05,1.009501,3.1e-05,0.999872,3.1e-05,
5839,55221.56350346,-0.09480299,0.999874,3.1e-05,1.009445,3.1e-05,0.999823,3.1e-05,
5840,55221.58393719,-0.09385317,0.999757,3.1e-05,1.009317,3.1e-05,0.999705,3.1e-05,
5841,55221.60437072,-0.09290336,0.999702,3.1e-05,1.009259,3.1e-05,0.99965,3.1e-05,
5842,55221.62480435,-0.09195355,0.999758,3.1e-05,1.009322,3.1e-05,0.999706,3.1e-05,
5843,55221.64523808,-0.09100374,0.999822,3.1e-05,1.009396,3.1e-05,0.99977,3.1e-05,
5844,55221.66567171,-0.09005392,0.999925,3.1e-05,1.009506,3.1e-05,0.999872,3.1e-05,
5845,55221.68610524,-0.08910412,0.999862,3.1e-05,1.009437,3.1e-05,0.999809,3.1e-05,
5846,55221.70653897,-0.0881543,0.999866,3.1e-05,1.009427,3.1e-05,0.999813,3.1e-05,
5847,55221.72697261,-0.08720449,0.999973,3.1e-05,1.009518,3.1e-05,0.999919,3.1e-05,
5848,55221.74740614,-0.08625468,0.999846,3.1e-05,1.009375,3.1e-05,0.999792,3.1e-05,
5849,55221.76783987,-0.08530487,0.999937,3.1e-05,1.009461,3.1e-05,0.999882,3.1e-05,
5850,55221.78827351,-0.08435506,0.999744,3.1e-05,1.009269,3.1e-05,0.999689,3.1e-05,
5851,55221.80870704,-0.08340525,0.999774,3.1e-05,1.009309,3.1e-05,0.999719,3.1e-05,
5852,55221.82914078,-0.08245543,0.999803,3.1e-05,1.009346,3.1e-05,0.999748,3.1e-05,
5853,55221.84957441,-0.08150562,0.999688,3.1e-05,1.009232,3.1e-05,0.999632,3.1e-05,
5854,55221.87000795,-0.08055582,0.999517,3.1e-05,1.009057,3.1e-05,0.999461,3.1e-05,
5855,55221.89044168,-0.079606,0.999503,3.1e-05,1.009037,3.1e-05,0.999446,3.1e-05,
5856,55221.91087532,-0.07865619,0.999648,3.1e-05,1.009181,3.1e-05,0.999591,3.1e-05,
5857,55221.93130896,-0.07770638,0.999776,3.1e-05,1.009308,3.1e-05,0.999719,3.1e-05,
5858,55221.95174249,-0.07675657,1.000002,3.1e-05,1.009536,3.1e-05,0.999944,3.1e-05,
5859,55221.97217623,-0.07580675,0.99998,3.1e-05,1.009511,3.1e-05,0.999923,3.1e-05,
5860,55221.99260987,-0.07485694,0.999985,3.1e-05,1.00951,3.1e-05,0.999927,3.1e-05,
5861,55222.01304341,-0.07390713,0.999833,3.1e-05,1.009348,3.1e-05,0.999775,3.1e-05,
5862,55222.03347714,-0.07295732,0.999848,3.1e-05,1.009355,3.1e-05,0.999789,3.1e-05,
5863,55222.05391078,-0.07200751,0.999822,3.1e-05,1.009324,3.1e-05,0.999763,3.1e-05,
5864,55222.07434432,-0.0710577,0.999853,3.1e-05,1.009357,3.1e-05,0.999794,3.1e-05,
5865,55222.09477806,-0.07010788,0.99961,3.1e-05,1.009114,3.1e-05,0.999551,3.1e-05,
5866,55222.1152117,-0.06915807,0.999654,3.1e-05,1.009162,3.1e-05,0.999593,3.1e-05,
5867,55222.13564524,-0.06820826,0.999765,3.1e-05,1.009275,3.1e-05,0.999704,3.1e-05,
5868,55222.15607898,-0.06725845,0.999792,3.1e-05,1.009297,3.1e-05,0.999731,3.1e-05,
5869,55222.17651262,-0.06630864,0.999588,3.1e-05,1.00908,3.1e-05,0.999527,3.1e-05,
5870,55222.19694617,-0.06535883,0.999432,3.1e-05,1.008909,3.1e-05,0.99937,3.1e-05,
5871,55222.21737991,-0.06440901,0.999691,3.1e-05,1.009163,3.1e-05,0.99963,3.1e-05,
5872,55222.23781355,-0.0634592,0.999811,3.1e-05,1.00928,3.1e-05,0.999748,3.1e-05,
5873,55222.25824709,-0.06250939,0.999619,3.1e-05,1.009086,3.1e-05,0.999557,3.1e-05,
5874,55222.27868084,-0.06155958,0.999573,3.1e-05,1.009045,3.1e-05,0.999511,3.1e-05,
5875,55222.31954802,-0.05965996,0.999836,3.1e-05,1.009323,3.1e-05,0.999773,3.1e-05,
5876,55222.33998167,-0.05871015,0.999705,3.1e-05,1.009192,3.1e-05,0.999641,3.1e-05,
5877,55222.36041541,-0.05776033,0.999546,3.1e-05,1.009028,3.1e-05,0.999481,3.1e-05,
5878,55222.38084896,-0.05681052,0.999489,3.1e-05,1.008965,3.1e-05,0.999425,3.1e-05,
5879,55222.4012826,-0.05586071,0.99964,3.1e-05,1.009111,3.1e-05,0.999575,3.1e-05,
5880,55222.42171635,-0.05491089,0.999468,3.1e-05,1.008929,3.1e-05,0.999403,3.1e-05,
5881,55222.44214989,-0.05396109,0.999535,3.1e-05,1.008992,3.1e-05,0.999469,3.1e-05,
5882,55222.46258354,-0.05301128,0.999435,3.1e-05,1.008892,3.1e-05,0.999369,3.1e-05,
5883,55222.48301729,-0.05206146,0.99965,3.1e-05,1.009116,3.1e-05,0.999584,3.1e-05,
5884,55222.50345083,-0.05111165,0.999542,3.1e-05,1.009014,3.1e-05,0.999475,3.1e-05,
5885,55222.52388448,-0.05016184,0.999659,3.1e-05,1.009139,3.1e-05,0.999592,3.1e-05,
5886,55222.54431823,-0.04921202,0.999623,3.1e-05,1.009101,3.1e-05,0.999556,3.1e-05,
5887,55222.56475178,-0.04826222,0.99952,3.1e-05,1.008985,3.1e-05,0.999452,3.1e-05,
5888,55222.58518543,-0.0473124,0.999567,3.1e-05,1.009014,3.1e-05,0.9995,3.1e-05,
5889,55222.60561918,-0.04636259,0.999487,3.1e-05,1.008911,3.1e-05,0.999419,3.1e-05,
5890,55222.62605272,-0.04541278,0.999592,3.1e-05,1.009,3.1e-05,0.999524,3.1e-05,
5891,55222.64648637,-0.04446297,0.99936,3.1e-05,1.008756,3.1e-05,0.999291,3.1e-05,
5892,55222.66692012,-0.04351315,0.9994,3.1e-05,1.008801,3.1e-05,0.999331,3.1e-05,
5893,55222.68735378,-0.04256334,0.999425,3.1e-05,1.008839,3.1e-05,0.999356,3.1e-05,
5894,55222.70778733,-0.04161353,0.999596,3.1e-05,1.009027,3.1e-05,0.999526,3.1e-05,
5895,55222.72822098,-0.04066372,0.999572,3.1e-05,1.009011,3.1e-05,0.999502,3.1e-05,
5896,55222.74865473,-0.0397139,0.99936,3.1e-05,1.008796,3.1e-05,0.99929,3.1e-05,
5897,55222.76908828,-0.03876409,0.999498,3.1e-05,1.008928,3.1e-05,0.999427,3.1e-05,
5898,55222.78952193,-0.03781428,0.999418,3.1e-05,1.008836,3.1e-05,0.999347,3.1e-05,
5899,55222.80995569,-0.03686446,0.999298,3.1e-05,1.008703,3.1e-05,0.999227,3.1e-05,
5900,55222.83038924,-0.03591466,0.999178,3.1e-05,1.008571,3.1e-05,0.999106,3.1e-05,
5901,55222.85082289,-0.03496484,0.999284,3.1e-05,1.008673,3.1e-05,0.999212,3.1e-05,
5902,55222.87125665,-0.03401503,0.999346,3.1e-05,1.008731,3.1e-05,0.999273,3.1e-05,
5903,55222.8916902,-0.03306522,0.999211,3.1e-05,1.008593,3.1e-05,0.999139,3.1e-05,
5904,55222.91212386,-0.03211541,0.999176,3.1e-05,1.008559,3.1e-05,0.999103,3.1e-05,
5905,55222.93255761,-0.03116559,0.999113,3.1e-05,1.008499,3.1e-05,0.99904,3.1e-05,
5906,55222.95299127,-0.03021578,0.999125,3.1e-05,1.008519,3.1e-05,0.999052,3.1e-05,
5907,55222.97342482,-0.02926597,0.999221,3.1e-05,1.008623,3.1e-05,0.999147,3.1e-05,
5908,55222.99385858,-0.02831615,0.999136,3.1e-05,1.008542,3.1e-05,0.999062,3.1e-05,
5909,55223.01429224,-0.02736634,0.998942,3.1e-05,1.008342,3.1e-05,0.998867,3.1e-05,
5910,55223.03472579,-0.02641653,0.999011,3.1e-05,1.008403,3.1e-05,0.998936,3.1e-05,
5911,55223.05515955,-0.02546672,0.999074,3.1e-05,1.008452,3.1e-05,0.998999,3.1e-05,
5912,55223.07559311,-0.02451691,0.999144,3.1e-05,1.008504,3.1e-05,0.999068,3.1e-05,
5913,55223.09602677,-0.0235671,0.998969,3.1e-05,1.008311,3.1e-05,0.998893,3.1e-05,
5914,55223.11646042,-0.02261728,0.99904,3.1e-05,1.008374,3.1e-05,0.998964,3.1e-05,
5915,55223.13689408,-0.02166747,0.998861,3.1e-05,1.008191,3.1e-05,0.998784,3.1e-05,
5916,55223.15732774,-0.02071766,0.998914,3.1e-05,1.008249,3.1e-05,0.998837,3.1e-05,
5917,55223.1777614,-0.01976785,0.999067,3.1e-05,1.008409,3.1e-05,0.99899,3.1e-05,
5918,55223.19819506,-0.01881803,0.998962,3.1e-05,1.008301,3.1e-05,0.998884,3.1e-05,
5919,55223.21862872,-0.01786822,0.998826,3.1e-05,1.008157,3.1e-05,0.998748,3.1e-05,
5920,55223.23906238,-0.01691841,0.998708,3.1e-05,1.008028,3.1e-05,0.99863,3.1e-05,
