,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err
0,56107.16080584,0.24481239,0.990963,0.000468,1.184897,0.000597,0.995446,0.00047,
1,56107.18124001,0.25011061,0.990456,0.000468,1.18391,0.000597,0.994907,0.00047,
2,56107.20167408,0.25540881,0.991123,0.000468,1.18498,0.000597,0.995548,0.00047,
3,56107.22210834,0.26070705,0.991833,0.000468,1.185708,0.000597,0.996231,0.00047,
4,56107.24254251,0.26600527,0.992061,0.000468,1.185957,0.000597,0.996431,0.00047,
5,56107.26297658,0.27130346,0.992503,0.000468,1.186388,0.000597,0.996846,0.00047,
6,56107.28341084,0.2766017,0.991989,0.000468,1.185901,0.000597,0.9963,0.00047,
7,56107.30384501,0.28189992,0.992583,0.000468,1.186357,0.000597,0.996868,0.00047,
8,56107.32427908,0.28719811,0.992189,0.000468,1.185723,0.000597,0.996444,0.00047,
9,56107.34471334,0.29249636,0.991633,0.000468,1.185021,0.000597,0.995857,0.00047,
10,56107.36514741,0.29779455,0.993156,0.000468,1.186726,0.000597,0.997358,0.00047,
11,56107.38558167,0.30309279,0.993026,0.000468,1.186671,0.000597,0.997199,0.00047,
12,56107.40601584,0.30839101,0.993104,0.000468,1.18642,0.000597,0.997248,0.00047,
13,56107.4264499,0.3136892,0.992885,0.000468,1.186378,0.000597,0.997,0.00047,
14,56107.44688417,0.31898744,0.99311,0.000468,1.186054,0.000597,0.997198,0.00047,
15,56107.46731833,0.32428566,0.9934,0.000468,1.186664,0.000597,0.997461,0.00047,
16,56107.48775239,0.32958385,0.993461,0.000468,1.186476,0.000597,0.997494,0.00047,
17,56107.50818666,0.3348821,0.99359,0.000468,1.186744,0.000597,0.997595,0.00047,
18,56107.52862082,0.34018031,0.993389,0.000468,1.185993,0.000597,0.997366,0.00047,
19,56107.54905498,0.34547853,0.99368,0.000468,1.186672,0.000597,0.99763,0.00047,
20,56107.56948915,0.35077675,0.994978,0.000468,1.188037,0.000597,0.998906,0.00047,
21,56107.58992331,0.35607496,0.994418,0.000468,1.187481,0.000597,0.998316,0.00047,
22,56107.61035757,0.3613732,0.99518,0.000468,1.187961,0.000597,0.999053,0.00047,
23,56107.63079164,0.3666714,0.994624,0.000468,1.187455,0.000597,0.998468,0.00047,
24,56107.6512258,0.37196961,0.995091,0.000468,1.187643,0.000597,0.99891,0.00047,
25,56107.67166006,0.37726786,0.996009,0.000467,1.189034,0.000596,0.999804,0.000469,
26,56107.69209412,0.38256605,0.995571,0.000467,1.188003,0.000596,0.999338,0.000469,
27,56107.71252828,0.38786426,0.995707,0.000467,1.188169,0.000595,0.999448,0.000468,
28,56107.73296254,0.3931625,0.995186,0.000466,1.18739,0.000594,0.998898,0.000468,
29,56107.7533967,0.39846072,0.995563,0.000466,1.187965,0.000594,0.99925,0.000467,
30,56107.77383076,0.40375891,0.997112,0.000465,1.189714,0.000593,1.000778,0.000467,
31,56107.79426503,0.40905715,0.995843,0.000465,1.188056,0.000593,0.999478,0.000466,
32,56107.81469919,0.41435537,0.996331,0.000464,1.188459,0.000592,0.999941,0.000466,
33,56107.85556751,0.4249518,0.997782,0.000463,1.190166,0.000591,1.001345,0.000465,
34,56107.87600166,0.43025002,0.997616,0.000463,1.189939,0.00059,1.001152,0.000464,
35,56107.89643592,0.43554826,0.998181,0.000462,1.190532,0.00059,1.001694,0.000464,
36,56107.91686998,0.44084645,0.998205,0.000462,1.190393,0.000589,1.001691,0.000463,
37,56107.93730414,0.44614467,0.998516,0.000461,1.190839,0.000588,1.001978,0.000463,
38,56107.9577384,0.45144291,0.998105,0.000461,1.190056,0.000588,1.001539,0.000462,
39,56107.97817246,0.4567411,0.998799,0.00046,1.191148,0.000587,1.00221,0.000462,
40,56107.99860662,0.46203931,0.999342,0.00046,1.191297,0.000587,1.002729,0.000461,
41,56108.01904077,0.46733753,0.999976,0.000459,1.192448,0.000586,1.003341,0.000461,
42,56108.03947493,0.47263574,0.994922,0.000459,1.185578,0.000585,0.998244,0.00046,
43,56108.05990919,0.47793399,0.991978,0.000458,1.181939,0.000585,0.995266,0.00046,
44,56108.08034324,0.48323217,0.965797,0.000458,1.148109,0.000584,0.968974,0.000459,
45,56108.1007774,0.48853039,0.918628,0.000458,1.088095,0.000584,0.921626,0.000459,
46,56108.12121166,0.49382863,0.878585,0.000457,1.036648,0.000583,0.881431,0.000458,
47,56108.14164571,0.49912682,0.85892,0.000458,1.011516,0.000584,0.86168,0.000459,
48,56108.16207987,-0.49557497,0.878952,0.000458,1.036891,0.000584,0.881756,0.00046,
49,56108.18251413,-0.49027672,0.922003,0.000459,1.092044,0.000585,0.924921,0.00046,
50,56108.20294818,-0.48497854,0.967471,0.000459,1.149922,0.000586,0.97051,0.000461,
51,56108.22338234,-0.47968032,0.997767,0.00046,1.188563,0.000586,1.000876,0.000461,
52,56108.24381659,-0.47438208,1.001939,0.00046,1.193644,0.000587,1.005037,0.000462,
53,56108.26425075,-0.46908386,1.00229,0.000461,1.194196,0.000588,1.005365,0.000462,
54,56108.2846849,-0.46378565,1.001199,0.000461,1.19268,0.000588,1.004247,0.000463,
55,56108.30511905,-0.45848744,1.001908,0.000462,1.193529,0.000589,1.004934,0.000463,
56,56108.32555321,-0.45318922,1.001945,0.000462,1.193453,0.00059,1.004947,0.000464,
57,56108.34598736,-0.44789101,1.002964,0.000463,1.194631,0.00059,1.005945,0.000464,
