,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err,rscl_flux,rscl_err
0,55372.47101358,0.02733087,0.904625,0.002701,1.63101,0.00781,1.00151,0.00299,1.00185,0.003943,
1,55372.49144779,0.0334936,0.903268,0.002701,1.626205,0.00781,1.000714,0.002992,1.000801,0.003946,
2,55372.5118821,0.03965637,0.904308,0.002701,1.628862,0.007809,1.002636,0.002995,1.003335,0.00395,
3,55372.53231621,0.04581908,0.9054,0.0027,1.632128,0.007809,1.004652,0.002996,1.005994,0.003951,
4,55372.55275042,0.05198182,0.899592,0.0027,1.615698,0.007809,0.999016,0.002998,0.998562,0.003954,
5,55372.57318474,0.0581446,0.894415,0.0027,1.601184,0.007808,0.994059,0.003001,0.992025,0.003957,
6,55372.59361885,0.0643073,0.898291,0.0027,1.612829,0.007808,0.999134,0.003003,0.998717,0.00396,
7,55372.61405306,0.07047004,0.886111,0.0027,1.57782,0.007807,0.986304,0.003005,0.981798,0.003963,
8,55372.63448737,0.07663281,0.893183,0.0027,1.598387,0.007807,0.994846,0.003007,0.993062,0.003965,
9,55372.65492148,0.08279552,0.897994,0.0027,1.61223,0.007806,1.000819,0.003009,1.000939,0.003968,
10,55372.67535569,0.08895826,0.900265,0.0027,1.618567,0.007806,1.003899,0.003011,1.005001,0.003971,
11,55372.69578999,0.09512103,0.899229,0.0027,1.615233,0.007806,1.003227,0.003012,1.004115,0.003972,
12,55372.7162242,0.10128377,0.900278,0.0027,1.617918,0.007806,1.004807,0.003013,1.006198,0.003973,
13,55372.73665831,0.10744648,0.905008,0.0027,1.631316,0.007805,1.01043,0.003015,1.013614,0.003976,
14,55372.75709262,0.11360925,0.893919,0.002699,1.599015,0.007805,0.998317,0.003014,0.99764,0.003975,
15,55372.77752683,0.11977199,0.892432,0.002699,1.594669,0.007805,0.996858,0.003015,0.995716,0.003976,
16,55372.79796094,0.1259347,0.893581,0.002699,1.598101,0.007804,0.998281,0.003015,0.997592,0.003976,
17,55372.81839524,0.13209746,0.891117,0.002699,1.591168,0.007805,0.995607,0.003015,0.994066,0.003976,
18,55372.83882935,0.13826017,0.891535,0.002699,1.592604,0.007804,0.996099,0.003016,0.994715,0.003977,
19,55372.85926366,0.14442294,0.898066,0.002699,1.611679,0.007804,1.003369,0.003015,1.004302,0.003976,
20,55372.87969786,0.15058568,0.89806,0.002699,1.611675,0.007804,1.003292,0.003015,1.0042,0.003976,
21,55372.90013197,0.15674839,0.894264,0.002699,1.600509,0.007804,0.998941,0.003015,0.998463,0.003976,
22,55372.92056628,0.16291116,0.901457,0.002699,1.621005,0.007803,1.006832,0.003014,1.008869,0.003975,
23,55372.94100048,0.16907389,0.898149,0.002699,1.611023,0.007804,1.002963,0.003014,1.003767,0.003975,
24,55372.96143459,0.1752366,0.897225,0.002699,1.607993,0.007803,1.001738,0.003013,1.002151,0.003973,
25,55372.98186889,0.18139937,0.90111,0.002699,1.619045,0.007804,1.00586,0.003013,1.007587,0.003973,
26,55373.0023031,0.18756211,0.900632,0.002699,1.617655,0.007804,1.005101,0.003012,1.006586,0.003972,
27,55373.0227372,0.19372482,0.896806,0.002699,1.606717,0.007804,1.000599,0.003011,1.000649,0.003971,
28,55373.04317151,0.19988759,0.896824,0.002699,1.60697,0.007804,1.000384,0.003011,1.000366,0.003971,
29,55373.06360571,0.20605032,0.89429,0.002699,1.599772,0.007805,0.997325,0.00301,0.996332,0.003969,
30,55373.08403992,0.21221306,0.890841,0.002699,1.589793,0.007805,0.993252,0.003009,0.99096,0.003968,
31,55373.10447412,0.2183758,0.894044,0.002699,1.598951,0.007805,0.996605,0.003009,0.995382,0.003968,
32,55373.12490832,0.22453853,0.894778,0.002699,1.600879,0.007806,0.997217,0.003008,0.996189,0.003967,
33,55373.14534263,0.2307013,0.899532,0.0027,1.614454,0.007806,1.002323,0.003009,1.002923,0.003968,
34,55373.16577673,0.23686401,0.897948,0.0027,1.609738,0.007806,1.000385,0.003008,1.000367,0.003967,
35,55373.18621093,0.24302675,0.895507,0.0027,1.602609,0.007805,0.997512,0.003008,0.996578,0.003967,
36,55373.20664524,0.24918952,0.8945,0.0027,1.599674,0.007807,0.996259,0.003007,0.994926,0.003965,
37,55373.22707944,0.25535225,0.897942,0.0027,1.609601,0.007807,0.999985,0.003007,0.999839,0.003965,
38,55373.24751354,0.26151496,0.892043,0.0027,1.59239,0.007807,0.99333,0.003007,0.991063,0.003965,
39,55373.26794784,0.26767773,0.903604,0.0027,1.625651,0.007807,1.006143,0.003006,1.00796,0.003964,
40,55373.28838204,0.27384046,0.896535,0.0027,1.604877,0.007807,0.998238,0.003006,0.997536,0.003964,
41,55373.30881614,0.28000317,0.899279,0.0027,1.612492,0.007808,1.001285,0.003006,1.001554,0.003964,
42,55373.32925044,0.28616593,0.892798,0.002701,1.593441,0.007808,0.994083,0.003007,0.992056,0.003965,
43,55373.34968465,0.29232867,0.893387,0.002701,1.594974,0.007809,0.99478,0.003008,0.992975,0.003967,
44,55373.37011875,0.29849138,0.8941,0.002701,1.596998,0.007808,0.995639,0.003008,0.994108,0.003967,
45,55373.39055305,0.30465415,0.895032,0.002701,1.599757,0.007809,0.996765,0.003008,0.995593,0.003967,
46,55373.41098725,0.31081688,0.897508,0.002701,1.60699,0.007809,0.999633,0.003008,0.999375,0.003967,
47,55373.43142134,0.31697959,0.908289,0.002701,1.638163,0.007809,1.011773,0.003009,1.015385,0.003968,
48,55373.45185564,0.32314235,0.896665,0.002701,1.604262,0.00781,0.998974,0.003009,0.998506,0.003968,
