,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err
3199,55530.82815137,-0.46587438,0.944744,5.5e-05,0.946858,5.6e-05,0.945934,5.5e-05,
3200,55530.84858396,-0.4590718,0.988732,5.5e-05,0.991329,5.6e-05,0.989976,5.5e-05,
3201,55530.86901655,-0.45226922,0.999828,5.5e-05,1.002551,5.6e-05,1.001085,5.5e-05,
3202,55530.88944915,-0.44546663,0.999933,5.6e-05,1.002697,5.6e-05,1.001189,5.6e-05,
3203,55530.90988184,-0.43866402,0.999893,5.6e-05,1.002609,5.6e-05,1.001147,5.6e-05,
3204,55530.93031433,-0.43186147,1.000109,5.6e-05,1.002827,5.6e-05,1.001362,5.6e-05,
3205,55530.95074693,-0.42505889,1.000178,5.6e-05,1.002916,5.6e-05,1.00143,5.6e-05,
3206,55530.97117962,-0.41825628,1.000206,5.6e-05,1.002945,5.6e-05,1.001457,5.6e-05,
3207,55530.99161221,-0.41145369,1.00045,5.6e-05,1.003183,5.7e-05,1.0017,5.6e-05,
3208,55531.01204471,-0.40465114,1.000471,5.6e-05,1.003202,5.7e-05,1.00172,5.6e-05,
3209,55531.0324773,-0.39784856,1.000669,5.6e-05,1.003423,5.7e-05,1.001917,5.6e-05,
3210,55531.0529099,-0.39104598,1.000953,5.6e-05,1.003701,5.7e-05,1.0022,5.6e-05,
3211,55531.07334249,-0.3842434,1.001096,5.6e-05,1.003847,5.7e-05,1.002342,5.6e-05,
3212,55531.09377518,-0.37744078,1.001253,5.6e-05,1.004015,5.7e-05,1.002498,5.6e-05,
3213,55531.11420768,-0.37063823,1.001447,5.6e-05,1.004201,5.7e-05,1.002691,5.6e-05,
3214,55531.13464037,-0.36383562,1.001618,5.7e-05,1.004365,5.7e-05,1.002861,5.7e-05,
3215,55531.15507297,-0.35703304,1.001735,5.7e-05,1.004498,5.7e-05,1.002977,5.7e-05,
3216,55531.17550546,-0.35023049,1.001918,5.7e-05,1.00468,5.7e-05,1.003159,5.7e-05,
3217,55531.19593816,-0.34342787,1.002048,5.7e-05,1.004796,5.7e-05,1.003288,5.7e-05,
3218,55531.21637075,-0.33662529,1.002218,5.7e-05,1.004976,5.7e-05,1.003457,5.7e-05,
3219,55531.23680325,-0.32982274,1.002297,5.7e-05,1.005066,5.7e-05,1.003535,5.7e-05,
3220,55531.25723594,-0.32302013,1.00231,5.7e-05,1.005077,5.7e-05,1.003547,5.7e-05,
3221,55531.27766854,-0.31621754,1.002467,5.7e-05,1.005216,5.7e-05,1.003703,5.7e-05,
3222,55531.29810103,-0.30941499,1.002597,5.7e-05,1.005368,5.7e-05,1.003832,5.7e-05,
3223,55531.31853373,-0.30261238,1.002591,5.7e-05,1.005352,5.7e-05,1.003825,5.7e-05,
3224,55531.33896632,-0.2958098,1.002782,5.7e-05,1.005552,5.7e-05,1.004015,5.7e-05,
3225,55531.35939902,-0.28900718,1.002728,5.7e-05,1.005489,5.7e-05,1.00396,5.7e-05,
3226,55531.37983151,-0.28220463,1.002792,5.7e-05,1.005568,5.7e-05,1.004023,5.7e-05,
3227,55531.40026411,-0.27540205,1.003026,5.7e-05,1.005795,5.7e-05,1.004256,5.7e-05,
3228,55531.4206968,-0.26859943,1.002939,5.7e-05,1.005715,5.7e-05,1.004168,5.7e-05,
3229,55531.4411293,-0.26179688,1.003058,5.7e-05,1.00585,5.7e-05,1.004286,5.7e-05,
3230,55531.4615619,-0.2549943,1.003079,5.7e-05,1.005852,5.7e-05,1.004306,5.7e-05,
3231,55531.48199459,-0.24819169,1.002972,5.7e-05,1.005745,5.7e-05,1.004198,5.7e-05,
3232,55531.50242709,-0.24138914,1.002872,5.7e-05,1.005654,5.7e-05,1.004096,5.7e-05,
3233,55531.52285968,-0.23458655,1.002808,5.7e-05,1.00558,5.7e-05,1.004031,5.7e-05,
3234,55531.54329238,-0.22778394,1.002903,5.7e-05,1.005673,5.7e-05,1.004125,5.7e-05,
3235,55531.56372498,-0.22098135,1.002806,5.7e-05,1.005577,5.7e-05,1.004027,5.7e-05,
3236,55531.58415757,-0.21417877,1.002681,5.7e-05,1.005461,5.7e-05,1.003901,5.7e-05,
3237,55531.60459017,-0.20737619,1.002596,5.7e-05,1.005375,5.7e-05,1.003815,5.7e-05,
3238,55531.62502277,-0.2005736,1.002493,5.7e-05,1.005259,5.7e-05,1.003711,5.7e-05,
3239,55531.64545547,-0.19377099,1.002307,5.7e-05,1.00508,5.7e-05,1.003523,5.7e-05,
3240,55531.66588796,-0.18696844,1.002165,5.6e-05,1.004933,5.7e-05,1.00338,5.6e-05,
3241,55531.68632056,-0.18016586,1.002051,5.6e-05,1.00482,5.7e-05,1.003265,5.6e-05,
3242,55531.70675316,-0.17336327,1.001922,5.6e-05,1.004689,5.7e-05,1.003135,5.6e-05,
3243,55531.72718575,-0.16656069,1.001856,5.6e-05,1.004615,5.7e-05,1.003068,5.6e-05,
3244,55531.74761825,-0.15975814,1.001616,5.6e-05,1.004383,5.7e-05,1.002826,5.6e-05,
3245,55531.76805095,-0.15295552,1.001526,5.6e-05,1.004297,5.7e-05,1.002735,5.6e-05,
3246,55531.78848355,-0.14615294,1.001561,5.6e-05,1.004327,5.7e-05,1.002769,5.6e-05,
3247,55531.80891624,-0.13935033,1.001242,5.6e-05,1.004008,5.7e-05,1.002449,5.6e-05,
3248,55531.82934874,-0.13254778,1.001062,5.6e-05,1.003821,5.7e-05,1.002268,5.6e-05,
3249,55531.84978134,-0.12574519,1.000968,5.6e-05,1.003735,5.7e-05,1.002173,5.6e-05,
3250,55531.87021404,-0.11894257,1.000912,5.6e-05,1.003686,5.7e-05,1.002116,5.6e-05,
3251,55531.89064654,-0.11214002,1.000785,5.6e-05,1.003544,5.7e-05,1.001987,5.6e-05,
3252,55531.91107914,-0.10533744,1.000694,5.6e-05,1.003443,5.7e-05,1.001895,5.6e-05,
3253,55531.93151183,-0.09853483,1.000566,5.6e-05,1.003306,5.7e-05,1.001766,5.6e-05,
3254,55531.95194433,-0.09173227,1.000499,5.6e-05,1.003247,5.7e-05,1.001698,5.6e-05,
3255,55531.97237703,-0.08492966,1.000305,5.6e-05,1.003048,5.7e-05,1.001503,5.6e-05,
3256,55532.01324223,-0.07132449,1.00019,5.6e-05,1.002959,5.7e-05,1.001386,5.6e-05,
3257,55532.03367483,-0.06452191,1.000138,5.6e-05,1.002894,5.7e-05,1.001333,5.6e-05,
3258,55532.05410743,-0.05771932,0.999946,5.6e-05,1.002695,5.7e-05,1.00114,5.6e-05,
3259,55532.07454003,-0.05091674,0.999791,5.6e-05,1.002564,5.7e-05,1.000984,5.6e-05,
3260,55532.09497263,-0.04411415,0.999667,5.6e-05,1.002437,5.7e-05,1.000859,5.6e-05,
3261,55532.11540522,-0.03731157,0.988342,5.6e-05,0.990996,5.7e-05,0.989519,5.6e-05,
3262,55532.13583782,-0.03050899,0.943525,5.6e-05,0.945669,5.7e-05,0.944648,5.6e-05,
