,#,bjd,phase,raw_flux,raw_err,corr_flux,corr_err,dtr_flux,dtr_err,rscl_flux,rscl_err
9613,55946.91560841,-0.19501311,0.975329,0.002083,1.342276,0.004054,0.999947,0.002135,0.999947,0.002135,
9614,55946.93604177,-0.16285707,0.980699,0.002083,1.352751,0.004054,1.005423,0.002135,1.005423,0.002135,
9615,55946.95647514,-0.13070102,0.981184,0.002083,1.353477,0.004054,1.00589,0.002136,1.00589,0.002136,
9616,55946.9769085,-0.09854499,0.985981,0.002083,1.362931,0.004054,1.010778,0.002136,1.010778,0.002136,
9617,55946.99734186,-0.06638895,0.987076,0.002083,1.36486,0.004055,1.01187,0.002136,1.01187,0.002136,
9618,55947.01777522,-0.03423291,0.928579,0.002083,1.251168,0.004054,0.951875,0.002136,0.951875,0.002136,
9619,55947.03820858,-0.00207688,0.846612,0.002083,1.091326,0.004055,0.867826,0.002136,0.867826,0.002136,
9620,55947.05864205,0.03007933,0.896688,0.002084,1.18887,0.004056,0.919129,0.002136,0.919129,0.002136,
9621,55947.07907531,0.06223521,0.987048,0.002084,1.364763,0.004055,1.01172,0.002136,1.01172,0.002136,
9622,55947.09950868,0.09439126,0.990998,0.002084,1.372571,0.004056,1.015739,0.002136,1.015739,0.002136,
9623,55947.11994214,0.12654746,0.995178,0.002084,1.380598,0.004056,1.019992,0.002136,1.019992,0.002136,
9624,55947.1403755,0.15870349,1.000167,0.002084,1.390037,0.004056,1.025075,0.002136,1.025075,0.002136,
9625,55947.16080877,0.19085939,0.996695,0.002084,1.38335,0.004056,1.021486,0.002136,1.021486,0.002136,
9626,55947.18124223,0.22301558,1.001178,0.002084,1.392058,0.004056,1.02605,0.002136,1.02605,0.002136,
9627,55947.2016756,0.25517163,0.994321,0.002084,1.378561,0.004055,1.018992,0.002135,1.018992,0.002135,
9628,55947.22210887,0.28732753,0.994748,0.002084,1.379357,0.004056,1.019399,0.002135,1.019399,0.002135,
9629,55947.24254233,0.31948372,0.990398,0.002084,1.37086,0.004055,1.014911,0.002135,1.014911,0.002135,
9630,55947.2629757,0.35163977,0.982408,0.002084,1.355246,0.004055,1.006693,0.002135,1.006693,0.002135,
9631,55947.28340917,0.38379598,0.978691,0.002084,1.347863,0.004055,1.002853,0.002135,1.002853,0.002135,
9632,55947.30384243,0.41595186,0.962845,0.002084,1.317031,0.004055,0.986587,0.002135,0.986587,0.002135,
9633,55947.3242758,0.44810791,0.946651,0.002084,1.285254,0.004055,0.969964,0.002135,0.969964,0.002135,
9634,55947.34470927,0.48026412,0.85691,0.002083,1.110513,0.004055,0.877987,0.002135,0.877987,0.002135,
9635,55947.36514254,-0.48757999,0.829832,0.002083,1.057753,0.004055,0.850217,0.002135,0.850217,0.002135,
9636,55947.38557591,-0.45542393,0.912103,0.002083,1.217868,0.004055,0.934481,0.002135,0.934481,0.002135,
9637,55947.40600938,-0.42326772,0.946784,0.002083,1.285563,0.004054,0.969983,0.002134,0.969983,0.002134,
9638,55947.42644265,-0.39111183,0.951334,0.002083,1.294211,0.004055,0.974615,0.002134,0.974615,0.002134,
9639,55947.44687612,-0.35895562,0.94906,0.002083,1.289712,0.004055,0.972257,0.002134,0.972257,0.002134,
9640,55947.46730949,-0.32679957,0.957281,0.002083,1.30561,0.004055,0.980649,0.002134,0.980649,0.002134,
9641,55947.48774276,-0.29464368,0.958068,0.002083,1.307168,0.004054,0.981425,0.002134,0.981425,0.002134,
9642,55947.50817623,-0.26248747,0.970223,0.002083,1.330755,0.004055,0.993847,0.002134,0.993847,0.002134,
9643,55947.5286096,-0.23033141,0.969693,0.002083,1.32967,0.004053,0.993273,0.002134,0.993273,0.002134,
9644,55947.54904297,-0.19817536,0.977744,0.002083,1.345389,0.004054,1.00149,0.002134,1.00149,0.002134,
9645,55947.56947634,-0.16601931,0.977891,0.002083,1.345669,0.004054,1.00161,0.002134,1.00161,0.002134,
9646,55947.58990971,-0.13386326,0.98393,0.002083,1.357399,0.004054,1.007766,0.002133,1.007766,0.002133,
9647,55947.61034309,-0.10170719,0.988422,0.002083,1.366108,0.004053,1.012336,0.002133,1.012336,0.002133,
9648,55947.63077646,-0.06955114,0.989021,0.002083,1.367199,0.004054,1.012918,0.002133,1.012918,0.002133,
9649,55947.65120983,-0.03739509,0.939756,0.002082,1.271184,0.004052,0.962433,0.002133,0.962433,0.002133,
9650,55947.67164321,-0.00523902,0.847865,0.002082,1.092038,0.004053,0.868299,0.002132,0.868299,0.002132,
9651,55947.69207658,0.02691703,0.88565,0.002082,1.165616,0.004052,0.906966,0.002132,0.906966,0.002132,
9652,55947.71250996,0.0590731,0.979426,0.002082,1.348337,0.004052,1.002969,0.002132,1.002969,0.002132,
9653,55947.73294333,0.09122915,0.990186,0.002081,1.369061,0.004051,1.013956,0.002131,1.013956,0.002131,
9654,55947.75337671,0.12338522,0.993752,0.002081,1.376034,0.00405,1.017577,0.002131,1.017577,0.002131,
9655,55947.77381008,0.15554127,0.995752,0.002081,1.37992,0.00405,1.019594,0.002131,1.019594,0.002131,
9656,55947.79424356,0.18769749,0.994801,0.002081,1.377967,0.004049,1.018589,0.00213,1.018589,0.00213,
9657,55947.81467683,0.21985339,1.000729,0.00208,1.389445,0.004049,1.024628,0.00213,1.024628,0.00213,
9658,55947.83511031,0.25200961,0.995125,0.00208,1.378687,0.004049,1.018859,0.00213,1.018859,0.00213,
9659,55947.85554369,0.28416568,0.995488,0.00208,1.379324,0.004048,1.019199,0.002129,1.019199,0.002129,
9660,55947.87597697,0.31632159,0.992137,0.00208,1.372576,0.004047,1.015737,0.002129,1.015737,0.002129,
9661,55947.89641044,0.3484778,0.988633,0.002079,1.36562,0.004047,1.012119,0.002129,1.012119,0.002129,
9662,55947.91684382,0.38063387,0.977425,0.002079,1.343837,0.004046,1.000614,0.002128,1.000614,0.002128,
9663,55947.9372771,0.41278978,0.968913,0.002079,1.327082,0.004046,0.991869,0.002128,0.991869,0.002128,
9664,55947.95771058,0.444946,0.952499,0.002079,1.295232,0.004045,0.975037,0.002128,0.975037,0.002128,
9665,55947.97814396,0.47710207,0.869667,0.002078,1.133895,0.004045,0.890218,0.002127,0.890218,0.002127,
9666,55947.99857724,-0.49074202,0.828949,0.002078,1.054298,0.004045,0.848511,0.002127,0.848511,0.002127,
9667,55948.01901072,-0.45858579,0.907806,0.002078,1.207927,0.004044,0.9292,0.002127,0.9292,0.002127,
9668,55948.0394441,-0.42642973,0.951419,0.002078,1.292915,0.004043,0.973811,0.002126,0.973811,0.002126,
9669,55948.05987758,-0.3942735,0.947693,0.002077,1.285618,0.004043,0.969968,0.002126,0.969968,0.002126,
9670,55948.08031086,-0.36211759,0.953568,0.002077,1.296889,0.004042,0.975951,0.002126,0.975951,0.002126,
9671,55948.10074424,-0.32996152,0.953697,0.002077,1.297178,0.004042,0.976053,0.002125,0.976053,0.002125,
9672,55948.12117772,-0.2978053,0.960636,0.002077,1.310782,0.004042,0.983125,0.002125,0.983125,0.002125,
9673,55948.141611,-0.26564939,0.976121,0.002077,1.340774,0.004042,0.998942,0.002125,0.998942,0.002125,
9674,55948.16204438,-0.23349332,0.973514,0.002077,1.335298,0.004042,0.996243,0.002125,0.996243,0.002125,
9675,55948.18247787,-0.20133708,0.978395,0.002077,1.345286,0.004043,1.001207,0.002125,1.001207,0.002125,
9676,55948.20291115,-0.16918117,0.984759,0.002077,1.357175,0.004043,1.007688,0.002125,1.007688,0.002125,
9677,55948.22334463,-0.13702495,0.985125,0.002077,1.358183,0.004043,1.008031,0.002125,1.008031,0.002125,
9678,55948.24377792,-0.10486902,0.98746,0.002077,1.362539,0.004043,1.01039,0.002125,1.01039,0.002125,
9679,55948.2642113,-0.07271295,0.98069,0.002077,1.34917,0.004043,1.003431,0.002125,1.003431,0.002125,
9680,55948.28464479,-0.04055671,0.947985,0.002077,1.285597,0.004043,0.969937,0.002125,0.969937,0.002125,
9681,55948.30507817,-0.00840064,0.857802,0.002077,1.10987,0.004043,0.877639,0.002125,0.877639,0.002125,
9682,55948.32551146,0.02375528,0.874741,0.002077,1.142838,0.004043,0.894942,0.002125,0.894942,0.002125,
9683,55948.34594494,0.05591151,0.976249,0.002077,1.340453,0.004043,0.998763,0.002125,0.998763,0.002125,
9684,55948.36637833,0.08806759,0.990518,0.002077,1.36806,0.004043,1.013329,0.002125,1.013329,0.002125,
9685,55948.38681161,0.1202235,0.99128,0.002078,1.369702,0.004043,1.014077,0.002125,1.014077,0.002125,
9686,55948.4072451,0.15237974,0.996334,0.002078,1.379465,0.004043,1.019216,0.002125,1.019216,0.002125,
9687,55948.42767849,0.18453582,0.997349,0.002078,1.381267,0.004044,1.020223,0.002125,1.020223,0.002125,
9688,55948.44811187,0.21669189,0.999791,0.002078,1.385979,0.004044,1.022689,0.002125,1.022689,0.002125,
9689,55948.46854526,0.24884797,0.997944,0.002078,1.382581,0.004044,1.020768,0.002125,1.020768,0.002125,
9690,55948.48897865,0.28100406,0.993541,0.002078,1.373874,0.004043,1.016233,0.002125,1.016233,0.002125,
9691,55948.50941214,0.3131603,0.987126,0.002078,1.361483,0.004044,1.00964,0.002125,1.00964,0.002125,
9692,55948.52984543,0.34531622,0.983386,0.002078,1.353831,0.004044,1.005782,0.002125,1.005782,0.002125,
9693,55948.55027882,0.37747231,0.976085,0.002078,1.339742,0.004044,0.998285,0.002125,0.998285,0.002125,
9694,55948.5707123,0.40962853,0.972537,0.002078,1.332711,0.004045,0.994624,0.002125,0.994624,0.002125,
9695,55948.59114559,0.44178446,0.959356,0.002078,1.306914,0.004044,0.981113,0.002125,0.981113,0.002125,
9696,55948.61157908,0.4739407,0.88203,0.002078,1.156397,0.004045,0.902006,0.002125,0.902006,0.002125,
9697,55948.63201247,-0.49390322,0.825337,0.002079,1.045978,0.004045,0.844002,0.002126,0.844002,0.002126,
9698,55948.65244577,-0.46174728,0.89424,0.002079,1.17988,0.004046,0.914434,0.002126,0.914434,0.002126,
9699,55948.67287926,-0.42959104,0.945914,0.002079,1.280664,0.004047,0.967246,0.002126,0.967246,0.002126,
9700,55948.69331265,-0.39743495,0.948967,0.00208,1.286454,0.004047,0.970337,0.002126,0.970337,0.002126,
9701,55948.71374594,-0.36527903,0.953152,0.00208,1.294781,0.004048,0.974586,0.002127,0.974586,0.002127,
9702,55948.73417943,-0.33312279,0.958597,0.00208,1.305242,0.004049,0.980123,0.002127,0.980123,0.002127,
9703,55948.75461282,-0.3009667,0.958685,0.00208,1.305271,0.004049,0.980182,0.002127,0.980182,0.002127,
9704,55948.77504622,-0.2688106,0.963346,0.002081,1.314272,0.004049,0.984916,0.002127,0.984916,0.002127,
9705,55948.79547961,-0.23665452,0.974298,0.002081,1.335407,0.004051,0.996083,0.002128,0.996083,0.002128,
9706,55948.815913,-0.20449844,0.978445,0.002081,1.34361,0.00405,1.00029,0.002128,1.00029,0.002128,
9707,55948.8363464,-0.17234234,0.982745,0.002082,1.351918,0.004052,1.004654,0.002128,1.004654,0.002128,
