# KIC07881722_morp_-1.0_T0_54954.118369_P_0.9532893_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
180845,180845,180845,229424,284066,284066,284066,284066,284066,284066,284066,338528,386867,386869,386868
386869,386869,398264,457229,534017,534017,534017,534017,534017,534017,534017,610394,669060,680844,680844
