# KIC01873513_morp_0.16_T0_55001.074635_P_3.2903828.csv_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
670364,670364,670429,672264,673952,674356,674355,680398,686440,686440,686537,688649,690530,691344,691343
968207,968206,969661,971789,976199,976199,976199,976199,976199,976199,976199,980938,983103,984475,984475
