# TIC 0400621146_morp_ 0.591_T0_ 1842.757619_P_ 1.6514433, none
# name, value
id,TIC 0400621146_morp_ 0.591_T0_ 1842.757619_P_ 1.6514433,target identifier
stage,  9,furthest stage the analysis reached
t_tot,26.31407986395061,total time base of observations in days
t_mean,2451855.5779985297,time series mean time reference point
period,1.6514928483658415,orbital period in days
p_err,0.000704884984169604,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,69.0,number of free parameters after the prewhitening phase
bic_prew,-71408.73083022346,BIC after the prewhitening phase
noise_level_prew,0.004019843861636927,noise level after the prewhitening phase
t_1,2.0573063343440237,time of primary minimum with respect to the mean time
t_2,2.894270534917246,time of secondary minimum with respect to the mean time
t_1_1,1.8915590433490403,time of primary first contact with respect to the mean time
t_1_2,2.285298453038744,time of primary last contact with respect to the mean time
t_2_1,2.722548136821768,time of secondary first contact with respect to the mean time
t_2_2,3.0946694835082997,time of secondary last contact with respect to the mean time
t_b_1_1,2.0573063343440237,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,2.0573063343440237,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,2.894270534917246,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,2.894270534917246,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.04746240814425878,depth of primary minimum
depth_2,0.0140806818421891,depth of secondary minimum
t_1_err,0.009110921426589496,error in time of primary minimum (t_1)
t_2_err,0.008427252899962432,error in time of secondary minimum (t_2)
t_1_1_err,0.005132224511948869,error in time of primary first contact (t_1_1)
t_1_2_err,0.01748415935997214,error in time of primary last contact (t_1_2)
t_2_1_err,0.011000461257825174,error in time of secondary first contact (t_2_1)
t_2_2_err,0.012769660053219438,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.005132224511948869,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.01748415935997214,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.011000461257825174,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.012769660053219438,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.0012308207883336968,error in depth of primary minimum
d_2_err,0.0012308207883336968,error in depth of secondary minimum
t_1_ind_err,0.01908318710857071,individual error in time of primary minimum (t_1)
t_2_ind_err,0.017651216202116647,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.010749648258285439,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.03662126681596389,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.023040903398751183,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.02674656060552229,individual error in time of secondary last contact (t_2_2)
