0.000000	0.7292
0.030303	0.7374
0.060606	0.7685
0.090909	0.8039
0.121212	0.8470
0.151515	0.9000
0.181818	0.9478
0.212121	0.9755
0.242424	1.0033
0.272727	1.0027
0.303030	1.0030
0.333333	0.9983
0.363636	1.0093
0.393939	1.0100
0.424242	1.0101
0.454545	1.0171
0.484848	1.0209
0.515152	1.0213
0.545455	1.0296
0.575758	1.0313
0.606061	1.0329
0.636364	1.0383
0.666667	1.0301
0.696970	1.0442
0.727273	1.0408
0.757576	1.0413
0.787879	1.0404
0.818182	1.0478
0.848485	1.0449
0.878788	1.0501
0.909091	1.0505
0.939394	1.0420
0.969697	1.0458
1.000000	1.0475
1.030303	1.0464
1.060606	1.0451
1.090909	1.0439
1.121212	1.0474
1.151515	1.0507
1.181818	1.0459
1.212121	1.0463
1.242424	1.0460
1.272727	1.0475
1.303030	1.0413
1.333333	1.0271
1.363636	1.0235
1.393939	1.0123
1.424242	1.0075
1.454545	1.0055
1.484848	0.9905
1.515152	0.9933
1.545455	0.9954
1.575758	1.0055
1.606061	1.0135
1.636364	1.0241
1.666667	1.0294
1.696970	1.0361
1.727273	1.0448
1.757576	1.0488
1.787879	1.0476
1.818182	1.0451
1.848485	1.0442
1.878788	1.0454
1.909091	1.0478
1.939394	1.0487
1.969697	1.0491
2.000000	1.0455
2.030303	1.0483
2.060606	1.0481
2.090909	1.0446
2.121212	1.0546
2.151515	1.0448
2.181818	1.0453
2.212121	1.0474
2.242424	1.0423
2.272727	1.0426
2.303030	1.0305
2.333333	1.0319
2.363636	1.0361
2.393939	1.0327
2.424242	1.0328
2.454545	1.0283
2.484848	1.0208
2.515152	1.0195
2.545455	1.0195
2.575758	1.0157
2.606061	1.0121
2.636364	1.0105
2.666667	1.0041
2.696970	1.0049
2.727273	1.0046
2.757576	1.0061
2.787879	0.9765
2.818182	0.9495
2.848485	0.9008
2.878788	0.8521
2.909091	0.8064
2.939394	0.7623
2.969697	0.7391
3.000000	0.7311
