# KIC04253860_morp_-1.0_T0_54999.512292_P_155.0611116, none
# name, value
id,KIC04253860_morp_-1.0_T0_54999.512292_P_155.0611116,target identifier
w_phys,4.807526884785401,argument of periastron of the physical model
i_phys,0.9004669542280381,inclination (radians) of the physical model
r_sum_phys,0.2724545969854937,sum of fractional radii of the physical model
r_rat_phys,26.760771563868005,radius ratio of the physical model
sb_rat_phys,999.9981897399574,surface brightness ratio of the physical model
ecosw_err_l,-1.0,lower HDI error estimate in ecosw
ecosw_err_u,-1.0,upper HDI error estimate in ecosw
esinw_err_l,-1.0,lower HDI error estimate in esinw
esinw_err_u,-1.0,upper HDI error estimate in esinw
cosi_err_l,-1.0,lower HDI error estimate in cosi
cosi_err_u,-1.0,upper HDI error estimate in cosi
phi_0_err_l,-1.0,lower HDI error estimate in phi_0
phi_0_err_u,-1.0,upper HDI error estimate in phi_0
log_rr_err_l,-1.0,lower HDI error estimate in log_rr
log_rr_err_u,-1.0,upper HDI error estimate in log_rr
log_sb_err_l,-1.0,lower HDI error estimate in log_sb
log_sb_err_u,-1.0,upper HDI error estimate in log_sb
e_err_l,-1.0,lower HDI error estimate in e
e_err_u,-1.0,upper HDI error estimate in e
w_err_l,-1.0,lower HDI error estimate in w
w_err_u,-1.0,upper HDI error estimate in w
i_err_l,-1.0,lower HDI error estimate in i
i_err_u,-1.0,upper HDI error estimate in i
r_sum_err_l,-1.0,lower HDI error estimate in r_sum
r_sum_err_u,-1.0,upper HDI error estimate in r_sum
r_rat_err_l,-1.0,lower HDI error estimate in r_rat
r_rat_err_u,-1.0,upper HDI error estimate in r_rat
sb_rat_err_l,-1.0,lower HDI error estimate in sb_rat
sb_rat_err_u,-1.0,upper HDI error estimate in sb_rat
n_param_phys,2617.0,number of parameters after physical model optimisation
bic_phys,-962417.5824810856,BIC after physical model optimisation
noise_level_phys,0.0001222729073445875,noise level after physical model optimisation
total_freqs,869,total number of frequencies
passed_sigma,869,number of frequencies that passed the sigma test
passed_snr,425,number of frequencies that passed the S/R test
passed_both,425,number of frequencies that passed both tests
passed_harmonics,225,number of harmonics that passed both tests
std_1,0.0001222729073445875,Standard deviation of the residuals of the linear+sinusoid+eclipse model
std_2,0.0004797680903920909,Standard deviation of the residuals of the linear+eclipse model
std_3,0.0004793594181820262,Standard deviation of the residuals of the linear+harmonic 1 and 2+eclipse model
std_4,0.00017548555890548555,Standard deviation of the residuals of the linear+non-harmonic sinusoid+eclipse model
ratio_1_1,4.890701023694173,Ratio of the first eclipse depth to std_1
ratio_1_2,1.6707273741478479,Ratio of the second eclipse depth to std_1
ratio_2_1,1.2464360283559512,Ratio of the first eclipse depth to std_2
ratio_2_2,0.4257988338705351,Ratio of the second eclipse depth to std_2
ratio_3_1,1.2474986626697702,Ratio of the first eclipse depth to std_3
ratio_3_2,0.4261618436370706,Ratio of the second eclipse depth to std_3
ratio_4_1,3.407689138924033,Ratio of the first eclipse depth to std_4
ratio_4_2,1.164111136502526,Ratio of the second eclipse depth to std_4
