# TIC 0233681149_morp_ 0.189_T0_ 1906.963848_P_ 8.5859279_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
340946,340945,340984,341524,344233,344262,344262,346411,348562,348561,348572,351290,351830,351873,351872
465178,465177,465230,465777,468539,468557,468557,470739,472922,472921,472947,475705,476253,476305,476305
