# KIC06866228_morp_0.12_T0_54970.562764_P_7.7023697, none
# name, value
id,KIC06866228_morp_0.12_T0_54970.562764_P_7.7023697,target identifier
stage,  9,furthest stage the analysis reached
t_tot,1459.4889895902015,total time base of observations in days
t_mean,2455687.08014558,time series mean time reference point
period,7.702369700000634,orbital period in days
p_err,8.675168545855301e-06,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,1284.0,number of free parameters after the prewhitening phase
bic_prew,-784894.4705358665,BIC after the prewhitening phase
noise_level_prew,0.0005099056041217152,noise level after the prewhitening phase
t_1,7.506567564054782,time of primary minimum with respect to the mean time
t_2,11.286540083781412,time of secondary minimum with respect to the mean time
t_1_1,7.421548722287333,time of primary first contact with respect to the mean time
t_1_2,7.591709643860669,time of primary last contact with respect to the mean time
t_2_1,11.202137432206154,time of secondary first contact with respect to the mean time
t_2_2,11.365319999852932,time of secondary last contact with respect to the mean time
t_b_1_1,7.506567564054782,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,7.506567564054782,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,11.286540083781412,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,11.286540083781412,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.017816719614992392,depth of primary minimum
depth_2,0.000986007614396856,depth of secondary minimum
t_1_err,0.00037746122294715097,error in time of primary minimum (t_1)
t_2_err,0.0018577997169758516,error in time of secondary minimum (t_2)
t_1_1_err,0.0005393135352727303,error in time of primary first contact (t_1_1)
t_1_2_err,0.0005282507075117504,error in time of primary last contact (t_1_2)
t_2_1_err,0.0026329187446250983,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0026217204347115295,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.0005393135352727303,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0005282507075117504,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.0026329187446250983,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0026217204347115295,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,5.8055321423705495e-05,error in depth of primary minimum
d_2_err,4.5306301854685497e-05,error in depth of secondary minimum
t_1_ind_err,0.0026117477181356705,individual error in time of primary minimum (t_1)
t_2_ind_err,0.012854576514324827,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0037316439662610015,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.0036550975201511916,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.018217817103490994,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.018140333222801522,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.001011779775654281,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.001011779775654281,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.0180345300290874,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.0180345300290874,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0008002373808226244,individual error in depth of primary minimum
d_2_ind_err,0.0006245042735419005,individual error in depth of secondary minimum
ecosw_form,-0.01452013485762394,e*cos(w) from timing formulae
esinw_form,-0.020950557098886356,e*sin(w) from timing formulae
cosi_form,0.19405616909622317,cosine of inclination from timing formulae
phi_0_form,0.06801754704794945,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,1.4174373348735558,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-1.4514029450849806,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.025490393465721222,eccentricity from timing formulae
w_form,4.106331365129767,argument of periastron (radians) from timing formulae
i_form,1.3755010887632726,inclination (radians) from timing formulae
r_sum_form,0.20505708058234853,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,26.147931277461097,radius ratio r2/r1 from timing formulae
sb_rat_form,0.035366904923860076,surface brightness ratio sb2/sb1 from timing formulae
