# TIC 0038586438_morp_ 0.368_T0_ 1325.336622_P_ 1.1112853_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
118935,118934,131536,144908,162629,162629,162629,162629,162629,162629,162629,179449,192460,204454,204454
368548,368548,381531,395042,413196,413196,413196,413196,413196,413196,413196,429349,442442,451365,451364
