# KIC05944240_morp_-1.0_T0_54999.591219_P_2.5532224_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
338192,338192,340436,384738,433798,433798,433798,433798,433798,433798,433798,483513,507104,509743,509743
526356,526356,527922,541059,606063,607353,607353,663204,719056,719055,720643,733659,736272,737867,737866
