ID,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w,prediction,Villanova ID,morph,Villanova Class
2.080257827754076e+18,2241.3732403945564,0.2907529355517501,1443.5945137541416,-2773.6733985341507,2.5449093646579266,2373.4871765662783,-1822.731471567548,1247.3194345374652,-752.011395144288,392.4652688425403,-172.40484854807295,60.76898970341548,-15.730289719894552,3.3873605730579426,SemiDetached,,,
6.504774806411682e+18,2178.021939307933,3.645262132877224,-210.97420820350723,-576.3600755949897,-244.71195303987747,305.8099810661104,1748.4969006918875,-450.9240229356559,-2519.659054057248,1250.201663871334,2318.9541595324567,-3041.8221317783427,1411.4312386465715,1.269659223160167,SemiDetached,TIC 0220388567,0.435,SemiDetached
2.0761347622349727e+18,2232.6517652695047,0.8785294451763573,-23.019282505748784,13.992739392108552,0.5223083941281663,6.313745347650946,-27.79728673523594,40.34299049092062,-40.17309754289028,30.561866888046367,-18.13624372319609,8.238365169005585,-2.686661075415937,3.0528412281717854,SemiDetached,KIC08523194,0.94,Ellipsoidal
3.196521030568578e+18,2043.1446910722093,0.6404740880852721,-10.728562044909827,0.0210780793772948,0.0080134077824957,0.0267593426430159,-0.0315801478921886,0.0198577682728886,0.0691249113360916,-0.0232623430996385,-0.031638826093411,0.0414131253268749,-0.0248014760184776,7.70324866930666,Ellipsoidal,TIC 0034145330,0.61,SemiDetached
1.325137529829066e+18,2202.265033769378,4.905363642747147,283.33276836588414,62.61541431267196,-85.01861953450353,-282.4518242188734,-360.2455311180322,0.9845447259861556,373.6035952147327,213.17664227391128,-300.84054633679585,-223.232374644292,306.27277828221986,0.9762285213961668,SemiDetached,,,
1.344698189582086e+18,2196.4926894701293,0.3469255784375287,-10.695949252215176,0.0546541391459517,-0.0321551543874226,-0.0360943115677312,0.0391559438025349,-0.0344406892665498,0.0214213652700627,0.0459009551399654,0.1022623224451761,-0.1021677955865581,0.0320348897565492,5.524225786936309,Ellipsoidal,TIC 0115971584,0.834,Ellipsoidal
2.079595406358551e+18,2216.354908899696,0.3307668813999209,36.40265871257809,51.054428000071546,73.50202348145565,58.94469810752023,-14.868840579368443,-47.90798103398811,-32.44577294361629,-58.353056910383145,-67.11693841728314,-40.74221778492688,26.49267054114324,0.1045778219089871,SemiDetached,KIC08245326,0.94,Ellipsoidal
5.03992243282416e+18,2220.126967542873,0.4067976448491524,-11.956433286634,0.0007004050823524,-0.009280985805732,-0.0023509123521375,0.0072552223391153,0.0465104498039864,-0.0104774070186485,0.0006687923203263,-0.0041109572081926,-0.0063460178038975,-0.0045161915989637,9.55187576120036,Ellipsoidal,,,
3.7447359862951706e+17,2305.6505735490164,0.6760313391001669,3058.6450064479286,-6716.257132564673,18.899032194889948,7900.776773286015,-8530.464073102705,7807.711422215319,-5875.206084152111,3564.883864535902,-1698.5099832499216,605.9187692491018,-146.95215228763595,3.043073788496647,SemiDetached,TIC 0352378412,0.668,SemiDetached
2.077498981283603e+18,2207.257750915914,0.5614137908136023,776.3399919262604,420.1312311504737,444.7357621771336,-379.724497812517,-970.0303867659776,-788.0961645543049,34.896041087915805,878.0073090588835,755.669183786559,-274.63050687742333,-912.8400406349704,0.5665349978314399,Detached,KIC06213131,0.64,SemiDetached
3.532312225289255e+18,2027.7545675504125,2.267683653920105,-1491.4541221919494,2306.7089762155697,10.016092460348784,-708.5159420095351,-932.2923019893354,1860.596217823623,-1890.139148529959,1351.248301402606,-716.9749219447705,277.5436334138949,-72.29152698370235,3.066333247702356,SemiDetached,TIC 0168384614,0.633,SemiDetached
2.943015568086196e+18,2245.8917902850635,1.7080560484486331,-770.7575134444704,-584.682091392278,683.9152166104332,-55.82713558973578,507.2533350191623,901.319263294794,841.5439072304258,253.751735652002,-421.2159963389389,-858.7389142582674,-507.4715257785938,0.2472726912091628,SemiDetached,TIC 0033689349,0.401,SemiDetached
2.1065287339505567e+18,2226.1591091582086,0.2617615307666829,-16.557010073876736,1.783164559519326,-0.0265959536626682,-1.629320762405975,1.3938344095926216,-1.107314552460314,0.8285957398304497,-0.5621156190754968,0.3577572119319192,-0.1576432808940618,0.0803713332769891,4.606060957076666,Ellipsoidal,KIC09392331,0.77,OverContact
3.030312839969413e+18,2102.785561487977,0.7295024407684527,128.30035912271447,-513.2712328650367,-187.6401537452593,-196.2614724193577,1345.9794459709888,35.95550622429382,-2023.4939019376104,745.9290159156307,1931.563758709816,-2359.6196921462715,1079.9183779281918,1.2247522442880845,SemiDetached,TIC 0405034090,0.933,Ellipsoidal
3.839523569453241e+18,2378.0314526932093,0.897419279770173,-1406.0264247445073,1980.1089943164689,8.001381306103273,-86.24855341720999,-1735.5212862100216,2583.591203004088,-2348.764465468338,1543.236458519583,-754.6633656592408,268.29134678238256,-63.86143459202125,2.837258906441316,SemiDetached,,,
2.0069832805108324e+18,2202.558560640057,1.5422091699687792,-10.38694665721524,-0.0150704272425018,-0.122446976288986,-0.010030015089245,0.0265462462308828,-0.0123424036084774,0.1395413429686597,0.0115547505009018,0.0093482856033225,-0.0001076072799368,0.0082303047680714,6.406031782645297,Ellipsoidal,TIC 0343667351,0.57,SemiDetached
2.0153119092840392e+18,2187.059375147623,0.9215839892284002,-12.554628368409787,0.0073243815061318,-0.0273937105209626,0.0009905654477995,-0.0048451515307443,-0.0096234021995553,0.0534212077699559,0.1028072240636689,-0.0134799103704071,0.049504054345702,-0.0177181154332602,6.4861068012455485,Ellipsoidal,TIC 0377611329,0.635,SemiDetached
