solution_id,source_id,global_ranking,reference_time,frequency,frequency_error,geom_model_reference_level,geom_model_reference_level_error,geom_model_gaussian1_phase,geom_model_gaussian1_phase_error,geom_model_gaussian1_sigma,geom_model_gaussian1_sigma_error,geom_model_gaussian1_depth,geom_model_gaussian1_depth_error,geom_model_gaussian2_phase,geom_model_gaussian2_phase_error,geom_model_gaussian2_sigma,geom_model_gaussian2_sigma_error,geom_model_gaussian2_depth,geom_model_gaussian2_depth_error,geom_model_cosine_half_period_amplitude,geom_model_cosine_half_period_amplitude_error,geom_model_cosine_half_period_phase,geom_model_cosine_half_period_phase_error,model_type,num_model_parameters,reduced_chi2,derived_primary_ecl_phase,derived_primary_ecl_phase_error,derived_primary_ecl_duration,derived_primary_ecl_duration_error,derived_primary_ecl_depth,derived_primary_ecl_depth_error,derived_secondary_ecl_phase,derived_secondary_ecl_phase_error,derived_secondary_ecl_duration,derived_secondary_ecl_duration_error,derived_secondary_ecl_depth,derived_secondary_ecl_depth_error
375316653866487564,2087272815017413760,0.649614,2226.7628176030007,0.28421893156690503,5.5845176e-06,15.313504,0.0017078102,0.2177232,0.004722937,0.010067377,0.0022381982,0.46870905,0.12689817,0.7174152,0.00023029337,0.010547579,0.00020564809,0.5299698,0.008172602,--,--,--,--,TWOGAUSSIANS,8,28.992683,0.7174152,0.00023029337,0.059066445,0.0011516294,0.5299698,0.008172602,0.2177232,0.004722937,0.05637731,0.01253391,0.46870905,0.12689817
375316653866487564,2080265558695009664,0.60973775,2243.494568547952,0.28119087144759425,6.775659e-05,11.258033,0.011077653,0.23721656,0.0031255079,0.01959154,0.0028438906,1.4926393,0.110444225,--,--,--,--,--,--,0.016127018,0.01695816,0.23721656,0.0031255079,ONEGAUSSIAN_WITH_ELLIPSOIDAL,6,402.18808,0.23721656,0.0031255079,0.10971262,0.015925787,1.5248933,0.10907883,--,--,--,--,--,--
375316653866487564,2106028009484136704,0.6380225,2233.7874748576282,0.2772251948558476,6.0071866e-06,14.934111,0.0053024087,0.28217056,0.0056343037,0.027867611,0.003498947,0.18615487,0.014317153,0.7848986,0.00090155617,0.025961135,0.0015833616,1.7609613,0.15864977,--,--,--,--,TWOGAUSSIANS,8,262.4096,0.7848986,0.00090155617,0.14538234,0.008866825,1.7609613,0.15864977,0.28217056,0.0056343037,0.15605862,0.019594103,0.18615487,0.014317153
375316653866487564,2099182587529309568,0.5671124,2216.91877887976,0.2765512792865512,1.0361779e-05,13.018857,0.009094205,0.2191939,0.0019142271,0.102818355,0.0039905454,0.25748178,0.010505775,0.72786677,0.005047946,0.10697179,0.007730278,0.21518248,0.009895859,--,--,--,--,TWOGAUSSIANS,8,227.2563,0.2191839,0.0019176548,0.4,0.0,0.23266989,0.0077544167,0.72786677,0.0050542857,0.4,0.0,0.19036636,0.008070975
375316653866487564,2079589633922887168,0.53735554,2243.081521018487,0.27549169977692284,1.2569899e-05,12.860342,0.001651743,0.13137966,0.03339395,0.03215091,0.027484221,0.052163318,0.31291813,0.68470097,0.0014811826,0.020609505,0.0009562147,0.39246616,0.054616824,0.003364634,0.0023709454,0.13137966,0.03339395,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,34.404385,0.68470097,0.0014811826,0.11541323,0.005354802,0.39846796,0.054883797,0.13137966,0.03339395,0.1800451,0.15391165,0.058892585,0.31350347
375316653866487564,2106436821649985152,0.48983404,2266.231094800548,0.36190324230329773,5.7059588e-05,14.225475,0.0010466265,0.13708796,0.0016603159,0.020725599,0.0024787255,0.056457948,0.0011807409,0.7618442,0.0038133156,0.045048766,0.008628959,0.03356759,0.005424097,0.0024683243,0.0018864832,0.7618442,0.0038133156,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE2,9,21.096718,0.13732795,0.0017738465,0.11606336,0.013880863,0.05893748,0.0017207123,0.7618442,0.0038133156,0.25227308,0.048322167,0.038504224,0.0053433403
375316653866487564,2085679931909007360,0.6253254,2225.4574686641345,2.9985981692561863,2.5829926e-05,13.323169,0.005293535,0.115156375,0.032388795,0.03546828,0.017983694,0.012719129,0.010018428,0.33211848,0.00031170473,0.021163454,0.0017628991,0.8303574,0.0294964,0.005311181,0.0075492472,0.115156375,0.032388795,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1,9,337.3485,0.33211848,0.00031170473,0.11851535,0.009872235,0.8308085,0.029825965,0.115156375,0.032388795,0.19862238,0.100708686,0.023341456,0.011720023
375316653866487564,2101650166501484544,0.49458548,2220.5111426382823,0.268598403700406,2.6636164e-05,12.473269,0.007913754,0.80527204,0.0039162897,0.028154865,0.0022365921,0.66525006,0.027629262,--,--,--,--,--,--,0.055032548,0.009838417,0.80527204,0.0039162897,ONEGAUSSIAN_WITH_ELLIPSOIDAL,6,7620.42,0.80527204,0.0039162897,0.15766723,0.012524916,0.7753149,0.027543325,--,--,--,--,--,--
375316653866487564,2076726402567711360,0.5495709,2235.2199000099245,0.26766029899266264,5.4149623e-05,13.55505,0.009948328,0.30075538,0.0041622156,0.040179204,0.0043860464,1.2143469,0.14166385,--,--,--,--,--,--,0.0391089,0.009820786,0.30075538,0.0041622156,ONEGAUSSIAN_WITH_ELLIPSOIDAL,6,4401.094,0.30075538,0.0041622156,0.22500354,0.02456186,1.2925645,0.1448986,--,--,--,--,--,--
375316653866487564,2077647484070832512,0.6064716,2240.5858299634624,0.2645570000772465,2.3450662e-05,12.891244,0.009888731,0.17778964,0.0045819175,0.046156276,0.008387236,0.13694921,0.025116663,0.6740043,0.0048918994,0.045921788,0.0040181098,0.49020466,0.047902912,0.01541691,0.016712299,0.6740043,0.0048918994,TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE2,9,247.48552,0.6740043,0.0048918994,0.257162,0.022501413,0.52103823,0.032977667,0.17764965,0.004405795,0.25847515,0.046968523,0.167766,0.011023003
