ID,T0,P,a0,a1,a10,a2,a3,a4,a5,a6,a7,a8,a9,w
2076611258777357824,2211.6639129265964,9.725309798524865,160.36074398462094,21.017439008112472,-46.30317114079592,-192.4077152566907,-179.17425471207335,66.27811603294363,218.19209118140415,23.94504831907548,-181.2130500384252,-35.70675363047519,132.8917656273077,1.194052292139072
6590559558307943168,2309.9275892852224,0.37660690124702945,-0.6938290917726765,-42.10107105726456,-30.98916563998401,-17.956615514208252,107.35874962221183,56.55943715111988,-258.70160672545524,81.60649903550025,264.1205968508774,-332.0165486837246,162.7529093353799,1.4736428877836967
2104165711664855424,2252.9059997861796,0.6413625450250305,501.9867468319953,-970.1161743798905,0.23134966031791127,810.1037468585621,-596.7077506951482,384.4110934515515,-213.5825767509203,100.15856839655324,-38.285322932734736,11.243395258891992,-2.26173210979427,3.609802599750537
4661475826286525568,2202.403549497632,4.0486765150972515,-10.696898393910374,0.03659057488921141,-0.002677111596772738,0.1043406395146721,-0.04668912656338133,-0.0015883447372477646,0.03287360703807604,-0.004633097284017583,-0.023020305317854515,-0.0015731089719691848,0.02585778876512214,7.019115283865148
4775507585905757440,2181.0312799482895,0.7852398708184994,-11.547140989200159,-0.0534402362096368,-0.03518111742632447,0.16648328348673572,0.1506641395098551,-0.050765279885962175,-0.07502418116229491,-0.04494779558310885,0.0555923945162647,0.02769969495080436,0.005147065195999047,4.836158138741308
2053561376195078784,2244.1795147688676,0.35488675211858145,-229.57224812252963,406.89403833482805,-0.3123856323541538,-347.0203710157321,265.0659246121522,-180.05243636947486,107.63292154625483,-55.651512675081996,24.213843461944453,-8.4641829031393,2.16530370683471,3.653075226344004
1391285764265043968,2147.7199176205354,3.933037672476897,57.254056655986304,39.79449046548636,-19.24471710605681,37.278297311255656,25.07287350659483,4.556621947327632,-11.020651799674212,-13.74754443457681,-42.16229564703398,-49.015784501450185,-40.51159413101785,0.010663878646976816
242962936981732608,2078.8415783506694,0.8494172659076763,-10.384335807120987,-0.00256922682904179,0.017963366999982446,0.18963762897173495,-0.06746241268422518,-0.06341042904184763,0.03693137150506381,0.042556610600692206,-0.04866020163387071,0.006040203337528992,-0.005554466558520137,5.5263747763327205
2060516302652344704,2215.976211423585,2.8390283196064074,-1470.8505105389763,-373.5070416745874,-459.5317732966329,2187.064000104708,2182.9611441667603,-2474.6838412352818,-2975.5142138619713,3519.7612839316384,1651.1919041186309,-4110.803063227119,2313.149005500426,1.1150779655657381
2125731773252011136,2225.517965074955,0.7909252386658288,711.749975680532,-556.436930476317,342.0005687068274,-162.27421337679746,582.7338450705504,-1088.8856113678842,-75.50119669903017,814.7826127579195,-447.9226871679365,902.7649054525434,-1038.12848524066,0.41903362062703337
