# TIC 0048880872_morp_ 0.463_T0_ 1469.644145_P_ 2.1874975.csv_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
575221,575221,582653,592225,604442,604442,604442,604442,604442,604442,604442,616903,626500,634845,634844
826323,826322,831196,841422,853878,853878,853878,853878,853878,853878,853878,866029,875943,881663,881663
