# TIC 0160425283_morp_ 0.756_T0_ 1842.814992_P_ 0.2653612_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
176118,208567,245335,268592,301230,301230,301230,301230,301230,301230,301230,333098,355587,397455,428388
428389,428389,436214,509730,550018,550018,550018,550018,550018,550018,550018,625999,664200,676117,676116
