# TIC 0199662929_morp_ 0.406_T0_ 1740.694015_P_ 2.2935708, none
# name, value
id,TIC 0199662929_morp_ 0.406_T0_ 1740.694015_P_ 2.2935708,target identifier
e_phys,0.7411847621863444,eccentricity of the physical model
w_phys,3.3131945761132373,argument of periastron of the physical model
i_phys,1.212021523530792,inclination (radians) of the physical model
r_sum_phys,0.21243560970909098,sum of fractional radii of the physical model
r_rat_phys,11.347272607901473,radius ratio of the physical model
sb_rat_phys,1.00009044917017,surface brightness ratio of the physical model
ecosw_err_l,-1.0,lower HDI error estimate in ecosw
ecosw_err_u,-1.0,upper HDI error estimate in ecosw
esinw_err_l,-1.0,lower HDI error estimate in esinw
esinw_err_u,-1.0,upper HDI error estimate in esinw
cosi_err_l,-1.0,lower HDI error estimate in cosi
cosi_err_u,-1.0,upper HDI error estimate in cosi
phi_0_err_l,-1.0,lower HDI error estimate in phi_0
phi_0_err_u,-1.0,upper HDI error estimate in phi_0
log_rr_err_l,-1.0,lower HDI error estimate in log_rr
log_rr_err_u,-1.0,upper HDI error estimate in log_rr
log_sb_err_l,-1.0,lower HDI error estimate in log_sb
log_sb_err_u,-1.0,upper HDI error estimate in log_sb
e_err_l,-1.0,lower HDI error estimate in e
e_err_u,-1.0,upper HDI error estimate in e
w_err_l,-1.0,lower HDI error estimate in w
w_err_u,-1.0,upper HDI error estimate in w
i_err_l,-1.0,lower HDI error estimate in i
i_err_u,-1.0,upper HDI error estimate in i
r_sum_err_l,-1.0,lower HDI error estimate in r_sum
r_sum_err_u,-1.0,upper HDI error estimate in r_sum
r_rat_err_l,-1.0,lower HDI error estimate in r_rat
r_rat_err_u,-1.0,upper HDI error estimate in r_rat
sb_rat_err_l,-1.0,lower HDI error estimate in sb_rat
sb_rat_err_u,-1.0,upper HDI error estimate in sb_rat
n_param_phys,250.0,number of parameters after physical model optimisation
bic_phys,-41573.62272926664,BIC after physical model optimisation
noise_level_phys,0.0008415128251399649,noise level after physical model optimisation
total_freqs,80,total number of frequencies
passed_sigma,80,number of frequencies that passed the sigma test
passed_snr,63,number of frequencies that passed the S/R test
passed_both,63,number of frequencies that passed both tests
passed_harmonics,20,number of harmonics that passed both tests
std_1,0.0008415128251399649,Standard deviation of the residuals of the linear+sinusoid+eclipse model
std_2,0.006525716945013128,Standard deviation of the residuals of the linear+eclipse model
std_3,0.006033568489797467,Standard deviation of the residuals of the linear+harmonic 1 and 2+eclipse model
std_4,0.002716487799301518,Standard deviation of the residuals of the linear+non-harmonic sinusoid+eclipse model
ratio_1_1,5.610640585987487,Ratio of the first eclipse depth to std_1
ratio_1_2,5.595678477224565,Ratio of the second eclipse depth to std_1
ratio_2_1,0.7235106962411746,Ratio of the first eclipse depth to std_2
ratio_2_2,0.7215812827343936,Ratio of the second eclipse depth to std_2
ratio_3_1,0.7825262973881922,Ratio of the first eclipse depth to std_3
ratio_3_2,0.7804395047320007,Ratio of the second eclipse depth to std_3
ratio_4_1,1.7380626600175728,Ratio of the first eclipse depth to std_4
ratio_4_2,1.7334277021803335,Ratio of the second eclipse depth to std_4
