# TIC 0030714849_morp_ 0.118_T0_ 1683.243361_P_ 15.0688612.csv_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
109158,109158,111437,112342,114011,114011,114011,114011,114011,114011,114011,115677,116628,118275,118274
735558,735558,736063,736857,739195,739197,739196,752747,766297,766297,766621,767368,769824,769826,769825
