# TIC 0030714849_morp_ 0.118_T0_ 1683.243361_P_ 15.0688612.csv, none
# name, value
id,TIC 0030714849_morp_ 0.118_T0_ 1683.243361_P_ 15.0688612.csv,target identifier
stage,  9,furthest stage the analysis reached
t_tot,26.848350468091667,total time base of observations in days
t_mean,2451694.8518218407,time series mean time reference point
period,15.351516204179203,orbital period in days
p_err,0.018093498948962988,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,237.0,number of free parameters after the prewhitening phase
bic_prew,6125.1229779775895,BIC after the prewhitening phase
noise_level_prew,0.28578708464376446,noise level after the prewhitening phase
t_1,3.500486928396279,time of primary minimum with respect to the mean time
t_2,7.760122443754014,time of secondary minimum with respect to the mean time
t_1_1,3.386455752000459,time of primary first contact with respect to the mean time
t_1_2,3.606105465499569,time of primary last contact with respect to the mean time
t_2_1,7.240104663835865,time of secondary first contact with respect to the mean time
t_2_2,8.28446935557087,time of secondary last contact with respect to the mean time
t_b_1_1,3.500486928396279,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,3.500486928396279,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,7.344065235531138,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,8.181122845137823,end of (flat) eclipse bottom right of secondary minimum
depth_1,3.8088814699528273,depth of primary minimum
depth_2,0.3564731491451281,depth of secondary minimum
t_1_err,0.007477801958299033,error in time of primary minimum (t_1)
t_2_err,0.024471041790342898,error in time of secondary minimum (t_2)
t_1_1_err,0.012013375771716338,error in time of primary first contact (t_1_1)
t_1_2_err,0.00890779945203653,error in time of primary last contact (t_1_2)
t_2_1_err,0.033494767334344915,error in time of secondary first contact (t_2_1)
t_2_2_err,0.035685124441942676,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.012013375771716338,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.00890779945203653,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.033494767334344915,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.035685124441942676,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.2062642083500003,error in depth of primary minimum
d_2_err,0.2379840575819018,error in depth of secondary minimum
t_1_ind_err,0.007477801958299035,individual error in time of primary minimum (t_1)
t_2_ind_err,0.0244710417903429,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.01201337577171634,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.008907799452036532,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.03349476733434492,individual error in time of secondary first contact (t_2_1)
