# %ECSV 1.0
# ---
# delimiter: ','
# meta: !!omap
# - RELEASE: Gaia DR3
# - TABLE: vari_eclipsing_binary
# - DESCRIPTION: >
#     This table describes the properties of the eclipsing binaries resulting from the variability analysis. 
# - CITATION: >
#     How to cite and acknowledge Gaia: 
#     https://gea.esac.esa.int/archive/documentation/credits.html 
# - KNOWN_ISSUES: >
#     Known issues: 
#     https://www.cosmos.esa.int/web/gaia-users/known-issues 
# - DOCUMENTATION: >
#     Tutorials and documentation: 
#     https://www.cosmos.esa.int/web/gaia-users/archive 
# datatype:
# - 
#   name: solution_id
#   datatype: int64
#   description: Solution Identifier
#   meta:
#     ucd: meta.version
# - 
#   name: source_id
#   datatype: int64
#   description: Unique source identifier
#   meta:
#     ucd: meta.id;meta.main
# - 
#   name: global_ranking
#   datatype: float32
#   description: Number between 0 (worst) and 1 (best)
#   meta:
#     ucd: stat.param
# - 
#   name: reference_time
#   datatype: float64
#   unit: d
#   description: Reference time used for the geometric model fit
#   meta:
#     ucd: time.epoch
# - 
#   name: frequency
#   datatype: float64
#   unit: d**-1
#   description: Frequency of geometric model of the eclipsing binary light curve
#   meta:
#     ucd: src.orbital
# - 
#   name: frequency_error
#   datatype: float32
#   unit: d**-1
#   description: "Uncertainty of \\texttt{frequency}"
#   meta:
#     ucd: stat.error
# - 
#   name: geom_model_reference_level
#   datatype: float32
#   unit: mag
#   description: Magnitude reference level of geometric model
#   meta:
#     ucd: phot.mag;em.opt
# - 
#   name: geom_model_reference_level_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty of \\texttt{geomModelReferenceLevel}"
#   meta:
#     ucd: stat.error;phot.mag;em.opt
# - 
#   name: geom_model_gaussian1_phase
#   datatype: float32
#   description: Phase of the Gaussian 1 component
#   meta:
#     ucd: time.phase
# - 
#   name: geom_model_gaussian1_phase_error
#   datatype: float32
#   description: "Uncertainty of \\texttt{geomModelGaussian1Phase}"
#   meta:
#     ucd: stat.error;time.phase
# - 
#   name: geom_model_gaussian1_sigma
#   datatype: float32
#   description: "Standard deviation [phase] of Gaussian 1 component"
#   meta:
#     ucd: stat.stdev
# - 
#   name: geom_model_gaussian1_sigma_error
#   datatype: float32
#   description: "Uncertainty of \\texttt{geomModelGaussian1Sigma}"
#   meta:
#     ucd: stat.error
# - 
#   name: geom_model_gaussian1_depth
#   datatype: float32
#   unit: mag
#   description: Magnitude depth of Gaussian 1 component
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: geom_model_gaussian1_depth_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty of \\texttt{geomModelGaussian1Depth}"
#   meta:
#     ucd: stat.error;src.var.amplitude
# - 
#   name: geom_model_gaussian2_phase
#   datatype: float32
#   description: Phase of Gaussian 2 component
#   meta:
#     ucd: time.phase
# - 
#   name: geom_model_gaussian2_phase_error
#   datatype: float32
#   description: "Uncertainty of \\texttt{geomModelGaussian2Phase}"
#   meta:
#     ucd: stat.error;time.phase
# - 
#   name: geom_model_gaussian2_sigma
#   datatype: float32
#   description: "Standard deviation [phase] of Gaussian 2 component"
#   meta:
#     ucd: stat.stdev
# - 
#   name: geom_model_gaussian2_sigma_error
#   datatype: float32
#   description: "Uncertainty of \\texttt{geomModelGaussian2Sigma}"
#   meta:
#     ucd: stat.error
# - 
#   name: geom_model_gaussian2_depth
#   datatype: float32
#   unit: mag
#   description: Magnitude depth of Gaussian2 component
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: geom_model_gaussian2_depth_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty of \\texttt{geomModelGaussian2Depth}"
#   meta:
#     ucd: stat.error;src.var.amplitude
# - 
#   name: geom_model_cosine_half_period_amplitude
#   datatype: float32
#   unit: mag
#   description: Amplitude of the cosine component with half the period of the geometric model
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: geom_model_cosine_half_period_amplitude_error
#   datatype: float32
#   unit: mag
#   description: "Uncertainty of \\texttt{geomModelCosineHalfPeriodAmplitude}"
#   meta:
#     ucd: stat.error;src.var.amplitude
# - 
#   name: geom_model_cosine_half_period_phase
#   datatype: float32
#   description: Reference phase of the cosine component with half the period of the geometric model
#   meta:
#     ucd: time.phase
# - 
#   name: geom_model_cosine_half_period_phase_error
#   datatype: float32
#   description: "Uncertainty of \\texttt{geomModelCosineHalfPeriodPhase}"
#   meta:
#     ucd: stat.error;time.phase
# - 
#   name: model_type
#   datatype: string
#   description: Type of geometrical model of the light curve
#   meta:
#     ucd: meta.code.class
# - 
#   name: num_model_parameters
#   datatype: int8
#   description: Number of free parameters of the geometric model
#   meta:
#     ucd: stat.fit.param
# - 
#   name: reduced_chi2
#   datatype: float32
#   description: Reduced Chi2 of the geometrical model fit
#   meta:
#     ucd: stat.fit.chi2
# - 
#   name: derived_primary_ecl_phase
#   datatype: float32
#   description: "Primary eclipse: phase at geometrically deepest point"
#   meta:
#     ucd: time.phase
# - 
#   name: derived_primary_ecl_phase_error
#   datatype: float32
#   description: "Primary eclipse: uncertainty of \\texttt{derivedPrimaryEclPhase}"
#   meta:
#     ucd: stat.error;time.phase
# - 
#   name: derived_primary_ecl_duration
#   datatype: float32
#   description: "Primary eclipse: duration [phase fraction]"
#   meta:
#     ucd: time.duration
# - 
#   name: derived_primary_ecl_duration_error
#   datatype: float32
#   description: "Primary eclipse: uncertainty of \\texttt{derivedPrimaryEclDuration}"
#   meta:
#     ucd: stat.error;time.duration
# - 
#   name: derived_primary_ecl_depth
#   datatype: float32
#   unit: mag
#   description: "Primary eclipse: depth"
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: derived_primary_ecl_depth_error
#   datatype: float32
#   unit: mag
#   description: "Primary eclipse: uncertainty of \\texttt{derivedPrimaryEclDepth}"
#   meta:
#     ucd: stat.error;src.var.amplitude
# - 
#   name: derived_secondary_ecl_phase
#   datatype: float32
#   description: "Secondary eclipse: phase at geometrically second deepest point"
#   meta:
#     ucd: time.phase
# - 
#   name: derived_secondary_ecl_phase_error
#   datatype: float32
#   description: "Secondary eclipse: uncertainty of \\texttt{derivedSecondaryEclPhase}"
#   meta:
#     ucd: stat.error;time.phase
# - 
#   name: derived_secondary_ecl_duration
#   datatype: float32
#   description: "Secondary eclipse: duration [phase fraction]"
#   meta:
#     ucd: time.duration
# - 
#   name: derived_secondary_ecl_duration_error
#   datatype: float32
#   description: "Secondary eclipse: uncertainty of \\texttt{derivedSecondaryEclDuration}"
#   meta:
#     ucd: stat.error;time.duration
# - 
#   name: derived_secondary_ecl_depth
#   datatype: float32
#   unit: mag
#   description: "Secondary eclipse: depth"
#   meta:
#     ucd: src.var.amplitude
# - 
#   name: derived_secondary_ecl_depth_error
#   datatype: float32
#   unit: mag
#   description: "Secondary eclipse: uncertainty of \\texttt{derivedSecondaryEclDepth}"
#   meta:
#     ucd: stat.error;src.var.amplitude
solution_id,source_id,global_ranking,reference_time,frequency,frequency_error,geom_model_reference_level,geom_model_reference_level_error,geom_model_gaussian1_phase,geom_model_gaussian1_phase_error,geom_model_gaussian1_sigma,geom_model_gaussian1_sigma_error,geom_model_gaussian1_depth,geom_model_gaussian1_depth_error,geom_model_gaussian2_phase,geom_model_gaussian2_phase_error,geom_model_gaussian2_sigma,geom_model_gaussian2_sigma_error,geom_model_gaussian2_depth,geom_model_gaussian2_depth_error,geom_model_cosine_half_period_amplitude,geom_model_cosine_half_period_amplitude_error,geom_model_cosine_half_period_phase,geom_model_cosine_half_period_phase_error,model_type,num_model_parameters,reduced_chi2,derived_primary_ecl_phase,derived_primary_ecl_phase_error,derived_primary_ecl_duration,derived_primary_ecl_duration_error,derived_primary_ecl_depth,derived_primary_ecl_depth_error,derived_secondary_ecl_phase,derived_secondary_ecl_phase_error,derived_secondary_ecl_duration,derived_secondary_ecl_duration_error,derived_secondary_ecl_depth,derived_secondary_ecl_depth_error
375316653866487564,6032353795712766592,0.5643474,2202.701670825982,1.6024665494253645,1.8607276E-5,18.211308,0.0041286754,0.27215227,0.0070241266,0.057287548,0.006671379,0.3253088,0.03697652,0.7767159,0.0033557445,0.078222305,0.006162895,0.144288,0.0047512506,null,null,null,null,"TWOGAUSSIANS",8,1.9602672,0.27215227,0.0070241266,0.3208103,0.037359722,0.3249209,0.037092652,0.7767159,0.0033557445,0.4,0.0,0.14390011,0.004660034
375316653866487564,6032356265306321280,0.6585764,2173.4479037325395,0.5905730861872375,2.5418058E-5,16.543636,0.0024174969,0.29153407,5.617531E-4,0.025638195,6.023674E-4,0.3052694,0.0069464003,0.7973859,0.0049942015,0.02197816,0.007045561,0.044545803,0.0078104055,0.031922396,0.0032785248,0.29153407,5.617531E-4,"TWOGAUSSIANS_WITH_ELLIPSOIDAL_ON_ECLIPSE1",9,4.9505367,0.29153407,5.617531E-4,0.1435739,0.0033732576,0.3691142,0.0058710063,0.7973859,0.0049942015,0.123077706,0.039455142,0.10830432,0.0113560725
