# KIC09936698_morp_0.27_T0_55000.668364_P_5.7121512.csv_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
593130,593129,595153,598540,603619,603619,603619,603619,603619,603619,603619,608702,612026,614189,614188
842981,842981,845166,848989,853528,853528,853528,853528,853528,853528,853528,858049,861929,864189,864188
