# TIC 0470314334_morp_ 0.497_T0_ 1818.371118_P_ 1.4746740_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
482761,482760,490211,496288,510824,510824,510824,510824,510824,510824,510824,525620,531722,540546,550361
736007,736006,738696,745230,759786,759786,759786,759786,759786,759786,759786,776914,783504,785913,785912
