# KIC08243263_morp_0.31_T0_54966.833553_P_3.5185527_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
638348,638348,640777,643754,649404,649404,649404,649404,649404,649404,649404,655047,658025,660439,660438
888422,888422,890779,893727,899412,899412,899412,899412,899412,899412,899412,905078,908026,910356,910356
