# TIC 0142618244_morp_ 0.236_T0_ 1843.882638_P_ 4.7796864, none
# name, value
id,TIC 0142618244_morp_ 0.236_T0_ 1843.882638_P_ 4.7796864,target identifier
stage,  9,furthest stage the analysis reached
t_tot,55.27098595676944,total time base of observations in days
t_mean,2451870.306035735,time series mean time reference point
period,4.779734197341852,orbital period in days
p_err,0.0001852675297369047,error in the orbital period
p_err_l,-1.0,lower HDI error estimate in period
p_err_u,-1.0,upper HDI error estimate in period
n_param_prew,396.0,number of free parameters after the prewhitening phase
bic_prew,-101025.47906116609,BIC after the prewhitening phase
noise_level_prew,0.0008375569900218874,noise level after the prewhitening phase
t_1,2.254555078099256,time of primary minimum with respect to the mean time
t_2,4.895069298858813,time of secondary minimum with respect to the mean time
t_1_1,2.175823217668781,time of primary first contact with respect to the mean time
t_1_2,2.333506806522677,time of primary last contact with respect to the mean time
t_2_1,4.79468522086216,time of secondary first contact with respect to the mean time
t_2_2,4.97040754461556,time of secondary last contact with respect to the mean time
t_b_1_1,2.254555078099256,start of (flat) eclipse bottom left of primary minimum
t_b_1_2,2.254555078099256,end of (flat) eclipse bottom right of primary minimum
t_b_2_1,4.85381059200865,start of (flat) eclipse bottom left of secondary minimum
t_b_2_2,4.9345595022874535,end of (flat) eclipse bottom right of secondary minimum
depth_1,0.06556188793209176,depth of primary minimum
depth_2,0.0029417288058180614,depth of secondary minimum
t_1_err,0.0009316151812655126,error in time of primary minimum (t_1)
t_2_err,0.0022184268145815406,error in time of secondary minimum (t_2)
t_1_1_err,0.0013225959214058132,error in time of primary first contact (t_1_1)
t_1_2_err,0.0013123899620685168,error in time of primary last contact (t_1_2)
t_2_1_err,0.002992428694420477,error in time of secondary first contact (t_2_1)
t_2_2_err,0.0032758267102254604,error in time of secondary last contact (t_2_2)
t_b_1_1_err,0.0013225959214058132,error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_err,0.0013123899620685168,error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_err,0.002992428694420477,error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_err,0.0032758267102254604,error in end of (flat) eclipse bottom right of secondary minimum
d_1_err,0.00020841452262974347,error in depth of primary minimum
d_2_err,0.0002961211136373351,error in depth of secondary minimum
t_1_ind_err,0.0017156154173435852,individual error in time of primary minimum (t_1)
t_2_ind_err,0.00408534266280897,individual error in time of secondary minimum (t_2)
t_1_1_ind_err,0.0024356257812343106,individual error in time of primary first contact (t_1_1)
t_1_2_ind_err,0.0024168310025102645,individual error in time of primary last contact (t_1_2)
t_2_1_ind_err,0.005510705392837458,individual error in time of secondary first contact (t_2_1)
t_2_2_ind_err,0.006032596850745165,individual error in time of secondary last contact (t_2_2)
t_b_1_1_ind_err,0.00044500339702444085,individual error in start of (flat) eclipse bottom left of primary minimum
t_b_1_2_ind_err,0.00044500339702444085,individual error in end of (flat) eclipse bottom right of primary minimum
t_b_2_1_ind_err,0.005560919799570507,individual error in start of (flat) eclipse bottom left of secondary minimum
t_b_2_2_ind_err,0.005459006062338407,individual error in end of (flat) eclipse bottom right of secondary minimum
d_1_ind_err,0.0007219690844598584,individual error in depth of primary minimum
d_2_ind_err,0.001025793628027483,individual error in depth of secondary minimum
ecosw_form,0.0823441468351999,e*cos(w) from timing formulae
esinw_form,0.05421283403766368,e*sin(w) from timing formulae
cosi_form,0.19027983443559016,cosine of inclination from timing formulae
phi_0_form,0.11086054289107028,phi_0 angle (Kopal 1959) from timing formulae
log_rr_form,1.0150132969730692,logarithm of the radius ratio r2/r1 from timing formulae
log_sb_form,-0.8778073324820428,logarithm of the surface brightness ratio sb2/sb1 from timing formulae
e_form,0.09858798046624258,eccentricity from timing formulae
w_form,0.5822360482568206,argument of periastron (radians) from timing formulae
i_form,1.3793491459468494,inclination (radians) from timing formulae
r_sum_form,0.21696646089820626,sum of radii divided by the semi-major axis of the relative orbit from timing formulae
r_rat_form,10.351738605386991,radius ratio r2/r1 from timing formulae
sb_rat_form,0.13249291876142302,surface brightness ratio sb2/sb1 from timing formulae
ecosw_sig,0.0034785696505482996,formal uncorrelated error in ecosw
esinw_sig,0.021518790758869612,formal uncorrelated error in esinw
cosi_sig,0.034992854604336196,error estimate for cosi used for formal errors
phi_0_sig,0.0015814724644333219,formal uncorrelated error in phi_0
log_rr_sig,0.21203848637135625,scaled error formal estimate for log_rr
log_sb_sig,0.05752353460634555,scaled formal error estimate for log_sb
e_sig,0.012184502860558598,formal uncorrelated error in e
w_sig,0.1833362730383063,formal uncorrelated error in w
i_sig,0.035,error estimate for i used for formal errors
r_sum_sig,0.02931488277098599,formal uncorrelated error in r_sum
r_rat_sig,2.162500719689025,scaled error formal estimate for r_rat
sb_rat_sig,0.008682384750556136,scaled error formal estimate for sb_rat
ecosw_low,0.0034785696505482996,lower error estimate in ecosw
