# KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv, none
# name, value
id,KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv,target identifier
std_2,0.0004073215833343865,Standard deviation of the residuals of the linear+eclipse model
std_3,0.00034713835916129167,Standard deviation of the residuals of the linear+harmonic 1 and 2+eclipse model
std_4,0.0003720675002503105,Standard deviation of the residuals of the linear+non-harmonic sinusoid+eclipse model
ratio_1_1,12.807892914603855,Ratio of the first eclipse depth to std_1
ratio_1_2,0.9137884039009883,Ratio of the second eclipse depth to std_1
ratio_2_1,4.171372630168359,Ratio of the first eclipse depth to std_2
ratio_2_2,0.2976096039537905,Ratio of the second eclipse depth to std_2
ratio_3_1,4.894561662684037,Ratio of the first eclipse depth to std_3
ratio_3_2,0.34920604968825586,Ratio of the second eclipse depth to std_3
ratio_4_1,4.566617893943512,Ratio of the first eclipse depth to std_4
ratio_4_2,0.3258086637946725,Ratio of the second eclipse depth to std_4
