# KIC02697935_morp_-1.0_T0_55008.46944_P_21.5133595.csv_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
77271,77270,78066,78968,80144,80144,80144,80144,80144,80144,80144,85275,105019,105851,119953
446240,446240,446581,447483,448378,448620,448620,461470,474321,474321,474524,475453,476404,476662,476661
