# KIC07750740_morp_0.17_T0_54967.31795_P_5.8741978_analysis_6, none, Eclipse indices (see function measure_eclipses_dt).
# zeros_1, minimum_1, peaks_2_n, peaks_1, p_2_p, minimum_1_in, zeros_1_in, minimum_1_in_mid, zeros_1_in, minimum_1_in, p_2_p, peaks_1, peaks_2_n, minimum_1, zeros_1
226336,226335,228030,230547,234836,234836,234836,234836,234836,234836,234836,239159,241680,243344,243343
476459,476459,478008,480437,484898,484898,484898,484898,484898,484898,484898,489420,491621,493336,493336
